entry_date,exit_date,entry_price,exit_price,stop,target_1,target_2,shares,pnl,pnl_pct,exit_reason,hold_days,atr,symbol,strategy
2026-02-12 00:00:00+05:30,2026-02-20 00:00:00+05:30,309.1,312.95,279.01,361.76,384.33,66,254.1,1.25,max_hold,7,15.05,ADVENZYMES,Momentum Breakout
2025-12-24 00:00:00+05:30,2025-12-30 00:00:00+05:30,93.45,86.35,86.35,105.87,111.2,281,-1994.7,-7.6,stop_loss,4,3.55,AEROENTER,Momentum Breakout
2025-12-22 00:00:00+05:30,2026-01-14 00:00:00+05:30,192.8,176.85,176.85,220.72,232.69,125,-1994.29,-8.28,stop_loss,17,7.98,AEROFLEX,Momentum Breakout
2026-02-18 00:00:00+05:30,2026-02-20 00:00:00+05:30,206.7,223.3,185.42,243.94,259.9,93,1543.8,8.03,max_hold,3,10.64,AEROFLEX,Momentum Breakout
2026-01-05 00:00:00+05:30,2026-01-12 00:00:00+05:30,104.9,98.31,98.31,116.44,121.38,303,-1997.64,-6.28,stop_loss,6,3.3,AERON-SM,Momentum Breakout
2025-12-15 00:00:00+05:30,2025-12-17 00:00:00+05:30,86.5,75.64,75.64,105.51,113.65,184,-1998.24,-12.55,stop_loss,3,5.43,AERONEU,Momentum Breakout
2026-01-02 00:00:00+05:30,2026-02-02 00:00:00+05:30,897.1,1029.67,844.07,989.9,1029.67,37,4056.69,12.22,target_2,21,26.51,AETHER,Momentum Breakout
2026-02-10 00:00:00+05:30,2026-02-20 00:00:00+05:30,205.7,204.39,181.44,248.16,266.35,82,-107.42,-0.64,max_hold,9,12.13,AFFORDABLE,Momentum Breakout
2026-01-08 00:00:00+05:30,2026-01-20 00:00:00+05:30,302.0,277.16,277.16,345.46,364.09,80,-1986.86,-8.22,stop_loss,8,12.42,AGIIL,Momentum Breakout
2025-12-01 00:00:00+05:30,2025-12-03 00:00:00+05:30,135.0,119.78,119.78,161.63,173.05,131,-1993.63,-11.27,stop_loss,3,7.61,AGRITECH-BE,Momentum Breakout
2025-12-17 00:00:00+05:30,2026-01-21 00:00:00+05:30,171.0,143.26,143.26,219.54,240.35,72,-1997.18,-16.22,stop_loss,24,13.87,AGRITECH-BE,Momentum Breakout
2025-12-30 00:00:00+05:30,2026-01-06 00:00:00+05:30,42.7,39.25,39.25,48.73,51.31,580,-1998.51,-8.07,stop_loss,6,1.72,AGROPHOS,Momentum Breakout
2026-02-01 00:00:00+05:30,2026-02-19 00:00:00+05:30,75.75,85.15,68.2,88.96,94.62,264,2481.6,12.41,max_hold,12,3.77,AGUL-SM,Momentum Breakout
2026-01-08 00:00:00+05:30,2026-01-08 00:00:00+05:30,64.0,59.3,59.3,72.23,75.75,425,-1998.11,-7.35,stop_loss,1,2.35,AHLADA,Momentum Breakout
2026-01-05 00:00:00+05:30,2026-01-09 00:00:00+05:30,147.9,137.74,137.74,165.68,173.3,196,-1991.36,-6.87,stop_loss,5,5.08,AHLEAST,Momentum Breakout
