symbol,last_close,ma20,ma50,ma100,ma200,ma_band_pct,avg_pair_diff_pct
GICRE,386.1,382.9,379.36,379.37,382.95,0.931,0.617
WOCKPHARMA,1362.0,1387.98,1389.5,1400.79,1397.43,0.941,0.567
IMPAL,1045.1,1048.09,1046.32,1047.7,1056.48,0.972,0.492
NRBBEARING,272.25,274.71,272.0,273.22,273.73,0.992,0.527
GODREJCP,1234.6,1204.46,1197.25,1191.4,1194.5,1.058,0.566
SOLARINDS,13279.0,13252.18,13155.36,13295.98,13224.36,1.059,0.564
STAR,861.0,869.35,878.5,878.01,871.42,1.063,0.659
RAMRAT,319.8,311.48,308.05,310.76,309.1,1.074,0.623
MENONBE,116.09,119.07,117.95,117.82,118.24,1.077,0.58
MUKANDLTD,126.82,129.58,130.31,130.97,130.85,1.093,0.618
IKS,1456.1,1623.34,1639.72,1632.04,1639.51,1.125,0.648
DRREDDY,1300.2,1264.68,1250.53,1249.31,1250.37,1.182,0.593
SHYAMMETL,830.9,859.36,849.52,854.27,855.78,1.185,0.623
DIVISLAB,6255.5,6218.87,6260.53,6297.23,6228.38,1.253,0.712
LMW,15517.0,15292.17,15112.74,15136.1,15313.0,1.291,0.813
CENTURYPLY,754.75,770.77,779.97,780.58,774.42,1.3,0.773
NAZARA,269.5,274.11,270.5,270.94,271.91,1.339,0.729
GLAND,1802.4,1812.95,1788.71,1794.05,1790.08,1.345,0.709
CAMPUS,262.65,267.36,265.32,266.6,268.88,1.353,0.725
HOMEFIRST,1205.1,1165.85,1151.53,1162.39,1168.46,1.405,0.75
ESCORTS,3565.4,3570.01,3617.49,3620.21,3573.48,1.408,0.91
ICICIBANK,1384.8,1395.85,1388.66,1386.58,1376.3,1.411,0.731
WCIL,113.31,117.09,117.62,118.71,118.55,1.424,0.85
BANARBEADS,123.27,121.94,122.35,123.7,123.38,1.427,0.853
GREENLAM,236.59,246.0,247.67,248.18,249.38,1.428,0.749
MANAKSTEEL,59.24,61.3,62.14,62.01,61.44,1.428,0.877
LTGILTBEES,29.36,29.25,29.19,29.1,28.82,1.453,0.776
SIEMENS,3365.6,3170.48,3130.96,3133.92,3181.09,1.489,0.926
SENSEXIETF,939.74,950.85,954.54,952.66,940.44,1.5,0.782
NV20IETF,14.79,15.0,15.02,14.92,14.79,1.511,0.843
BAJAJFINSV,2043.3,2026.94,2022.79,2024.37,1995.96,1.516,0.771
MIDSELIETF,17.64,17.98,18.09,18.06,17.82,1.519,0.833
NV20BEES,152.03,154.06,154.15,153.15,151.8,1.541,0.871
JKCEMENT,5626.0,5736.53,5739.2,5823.77,5776.73,1.551,0.886
INDNIPPON,827.9,812.85,807.3,820.46,808.03,1.59,0.892
ADOR,1065.8,1064.97,1055.3,1047.97,1047.89,1.603,0.916
NAVA,577.6,563.57,564.75,571.21,561.85,1.621,0.844
SAMMAANCAP,153.42,148.67,148.17,148.17,146.13,1.653,0.827
MRF,143950.0,145115.38,146237.14,147406.5,145018.23,1.659,0.959
ASTRAZEN,8800.5,8777.7,8762.99,8815.82,8669.35,1.664,0.86
LIQUIDBETF,1070.42,1068.68,1065.66,1060.49,1050.63,1.686,0.924
NIF100IETF,29.06,29.18,29.21,29.1,28.72,1.687,0.885
NIF100BEES,275.98,277.48,277.71,276.73,273.05,1.688,0.889
MIRZAINT,34.73,36.14,36.64,36.73,36.44,1.69,0.94
TOP100CASE,10.9,10.96,10.97,10.93,10.78,1.703,0.902
KOTAKBANK,427.7,423.22,423.5,422.36,416.22,1.703,0.885
AZAD,1742.1,1623.29,1596.1,1599.09,1593.57,1.706,0.881
RML,809.75,812.16,798.29,800.29,809.89,1.713,1.054
LIQUIDSHRI,1093.34,1091.56,1088.55,1083.32,1072.76,1.719,0.939
SARDAEN,519.35,506.65,504.69,508.09,499.12,1.728,0.927
JUNIORBEES,750.28,744.9,741.68,738.61,731.91,1.731,0.933
NIVABUPA,76.5,76.99,77.02,77.51,78.33,1.746,0.981
WAAREEENER,3023.5,2962.5,2943.05,2995.94,2975.61,1.749,0.947
NAGREEKCAP,26.33,27.61,27.63,27.87,28.08,1.774,1.039
CONSUMBEES,129.7,130.91,132.25,133.21,132.16,1.775,0.9
PFIZER,5084.5,4938.63,4912.57,4968.03,5002.97,1.778,0.985
GOLDIAM,353.75,367.13,360.83,362.26,362.12,1.779,0.896
SETFNN50,744.15,738.3,735.08,731.88,725.02,1.784,0.964
RELIANCE,1428.8,1434.74,1455.95,1460.36,1441.8,1.793,1.062
LIQUIDCASE,112.86,112.68,112.35,111.79,110.65,1.801,0.983
LOWVOLIETF,22.67,22.74,22.8,22.72,22.39,1.81,0.919
MAITHANALL,998.5,1033.62,1028.68,1035.23,1046.75,1.81,0.932
YESBANK,20.82,21.24,21.61,21.62,21.3,1.823,1.163
MID150CASE,10.93,10.97,10.96,10.92,10.77,1.846,0.99
PRIMESECU,272.85,279.57,280.71,281.0,275.96,1.847,0.993
MID150BEES,225.52,226.42,226.39,225.56,222.24,1.853,0.988
NIFTYBETF,260.27,262.08,262.51,261.46,257.68,1.854,0.967
ARIES,339.95,337.6,333.81,340.15,338.51,1.864,0.977
MOM50,265.29,266.58,266.91,265.85,261.85,1.91,1.001
NORTHARC,253.9,254.94,257.67,257.12,252.81,1.914,1.101
NETF,275.2,277.24,277.68,276.56,272.39,1.922,1.003
IVZINNIFTY,2904.33,2920.21,2924.23,2912.1,2868.37,1.923,1.008
SETFNIF50,272.21,274.21,274.64,273.55,269.4,1.926,1.004
NIFTYBEES,287.85,290.13,290.56,289.38,284.97,1.939,1.013
NIFTYIETF,286.5,288.75,289.17,287.99,283.57,1.955,1.022
APOLLOHOSP,7720.5,7422.37,7302.04,7313.2,7271.01,1.961,1.004
BSLNIFTY,29.65,29.85,29.89,29.77,29.31,1.972,1.034
LICI,882.0,864.13,858.08,864.94,875.66,1.993,1.012
NIFTY1,280.56,282.91,283.21,281.97,277.61,1.998,1.055
SGIL,519.95,514.15,518.73,523.08,512.68,2.001,1.147
MOM100,63.77,64.11,64.15,63.88,62.86,2.019,1.071
APCOTEXIND,369.45,369.51,369.81,373.64,377.0,2.027,1.187
ORIENTBELL,303.55,291.98,285.98,285.8,289.48,2.035,1.21
CREDITACC,1279.3,1285.96,1298.37,1303.16,1276.67,2.07,1.197
SAMPANN,30.38,31.92,32.44,32.55,32.13,2.08,1.21
EPL,215.07,213.28,210.49,211.16,215.05,2.118,1.223
SHAHALLOYS,66.74,66.25,67.28,67.67,66.7,2.135,1.213
BOSCHLTD,35330.0,35837.13,36336.13,36603.82,36019.29,2.17,1.235
LTFOODS,408.7,407.14,398.15,402.34,403.75,2.198,1.157
KIMS,735.85,672.53,656.33,663.82,661.59,2.201,1.151
TIMKEN,3254.9,3143.97,3099.4,3076.92,3072.31,2.201,1.216
FINEORG,4872.3,4480.33,4388.83,4423.17,4497.47,2.23,1.31
BIOCON,390.75,378.75,378.91,377.36,370.19,2.234,1.176
RAMANEWS,34.5,31.3,31.01,31.0,30.51,2.275,1.142
ENGINERSIN,215.76,199.79,194.85,196.15,198.18,2.287,1.3
MMTC,61.68,63.81,64.04,64.19,65.24,2.313,1.197
DOLPHIN,439.2,423.66,422.05,414.84,413.5,2.313,1.43
CGPOWER,724.5,676.56,659.66,668.05,673.96,2.333,1.303
WELENT,500.65,493.87,495.96,502.62,505.61,2.346,1.394
GSPL,303.1,304.54,303.5,304.65,310.63,2.351,1.182
BHARTIHEXA,1653.7,1671.73,1689.23,1711.18,1684.77,2.386,1.238
MANCREDIT,175.77,168.1,167.9,170.95,172.12,2.4,1.47
TATACONSUM,1178.0,1158.99,1161.22,1153.58,1132.89,2.405,1.279
ASTERDM,638.0,605.58,604.15,611.33,595.96,2.409,1.242
TECHM,1345.4,1546.62,1579.14,1565.18,1551.22,2.417,1.382
MODIRUBBER,121.36,123.09,122.4,121.39,120.12,2.448,1.363
PTL,38.07,39.08,39.37,39.59,40.02,2.456,1.325
SATIN,154.76,154.68,152.26,150.88,153.15,2.457,1.324
APCL,126.47,135.09,133.34,132.23,135.35,2.466,1.464
DIAMONDYD,1073.8,1090.23,1100.17,1089.41,1073.68,2.467,1.246
SASTASUNDR,280.85,292.88,299.05,299.84,297.2,2.477,1.348
SHARIABEES,474.92,495.65,504.36,506.04,507.42,2.478,1.298
KICL,4890.4,4859.39,4878.71,4933.59,4980.73,2.481,1.428
NH,1821.0,1821.47,1832.77,1834.88,1789.65,2.484,1.345
AVL,481.2,495.26,498.97,499.53,487.56,2.487,1.372
SUNTV,588.65,576.21,567.83,567.33,582.01,2.495,1.485
MIDHANI,338.5,355.69,352.38,355.23,360.83,2.497,1.271
TALBROAUTO,263.8,273.46,272.93,275.94,279.52,2.498,1.406
INTENTECH,100.99,111.16,113.51,113.68,112.25,2.502,1.46
HDFCLIFE,734.75,723.05,732.9,741.85,738.1,2.559,1.398
HINDUNILVR,2358.6,2355.68,2370.27,2395.05,2416.5,2.579,1.465
AADHARHFC,452.35,471.12,477.53,482.84,477.31,2.59,1.303
VAIBHAVGBL,230.28,238.13,235.7,235.93,241.69,2.599,1.459
NAVNETEDUL,148.73,152.83,150.63,149.97,148.95,2.611,1.38
ICIL,266.14,286.3,279.85,279.35,285.34,2.612,1.65
GINNIFILA,39.0,39.61,39.9,40.63,40.02,2.617,1.36
TARC,150.99,156.48,157.34,157.67,160.52,2.675,1.374
ICICIPRULI,661.4,650.51,648.04,639.88,632.76,2.683,1.547
GMRP&UI,118.3,108.74,108.92,111.03,111.92,2.685,1.64
NKIND,62.93,64.48,65.15,66.1,66.19,2.705,1.603
HYUNDAI,2159.9,2214.85,2251.26,2273.4,2215.8,2.71,1.629
ICEMAKE,821.8,777.57,760.69,755.06,757.05,2.739,1.443
VOLTAMP,8429.5,8014.99,7804.97,7796.34,8027.62,2.744,1.787
PPAP,218.86,213.51,214.32,219.07,219.57,2.769,1.746
PASUPTAC,50.9,50.46,50.06,49.85,49.04,2.777,1.459
DDEVPLSTIK,276.75,284.71,288.75,292.41,290.8,2.781,1.514
NIITMTS,345.65,369.3,378.97,374.61,376.11,2.798,1.471
MSUMI,43.61,43.65,44.64,44.87,44.03,2.801,1.634
ENDURANCE,2685.0,2512.25,2540.68,2587.46,2559.18,2.801,1.515
TATAPOWER,379.75,373.23,373.72,378.34,383.88,2.807,1.606
COROMANDEL,2280.3,2290.98,2288.27,2282.13,2226.74,2.817,1.453
GODIGIT,337.75,329.38,333.15,338.41,338.9,2.818,1.669
SSWL,213.57,215.56,209.52,210.27,213.47,2.827,1.663
APOLLOTYRE,454.75,483.23,495.45,496.14,489.67,2.838,1.631
360ONE,1113.4,1128.53,1135.31,1127.36,1103.55,2.853,1.444
GRINDWELL,1681.8,1637.34,1611.3,1609.82,1657.81,2.854,1.685
SHIVAUM,275.0,301.0,301.04,298.61,293.15,2.869,1.579
ORIENTCER,39.52,41.93,42.59,41.93,41.46,2.879,1.443
VESUVIUS,506.05,505.88,491.96,491.22,492.93,2.897,1.48
ALKEM,5495.5,5577.83,5620.25,5571.66,5460.78,2.902,1.47
KRN,946.25,768.85,743.79,760.68,771.36,2.915,1.601
PTC,165.5,173.24,169.52,168.39,170.03,2.931,1.517
LATTEYS,21.92,22.35,22.54,22.76,23.0,2.956,1.648
MEDICO,46.05,47.75,48.59,48.64,49.11,2.963,1.497
YATHARTH,704.1,673.61,669.44,679.33,658.46,2.964,1.581
TRIVENI,380.0,378.35,370.41,367.07,370.42,2.969,1.485
GLOBE,2.71,2.75,2.73,2.67,2.73,2.97,1.504
SANDHAR,486.15,511.38,524.82,522.41,510.29,2.989,1.873
ARMANFIN,1617.8,1617.4,1590.9,1576.93,1569.03,2.989,1.639
KPIL,1205.4,1134.02,1146.21,1166.41,1170.21,3.002,1.781
GRSE,2416.3,2461.89,2475.39,2498.36,2425.78,3.004,1.595
INFRABEES,996.0,984.92,977.31,970.36,954.55,3.05,1.641
KANPRPLA,187.31,193.3,190.81,192.86,187.56,3.066,1.715
KEYFINSERV,281.45,293.07,294.22,292.26,285.57,3.073,1.584
POONAWALLA,468.1,460.5,457.68,457.99,446.03,3.09,1.556
PKTEA,789.9,752.97,745.74,745.31,728.55,3.091,1.555
AAREYDRUGS,75.54,70.59,70.85,72.26,69.92,3.097,1.605
HONASA,305.65,294.9,287.79,285.17,287.78,3.184,1.593
ATULAUTO,473.4,473.23,458.14,458.3,470.09,3.187,2.008
BBOX,518.65,528.68,527.43,524.02,512.13,3.191,1.705
MANINDS,427.4,400.14,389.53,391.99,386.5,3.193,1.692
TIRUPATIFL,36.89,36.48,35.78,36.16,36.96,3.197,1.743
DIACABS,132.48,132.83,134.41,137.11,135.47,3.228,1.746
DELHIVERY,436.75,427.11,421.91,421.92,412.96,3.24,1.62
WELSPUNLIV,134.21,136.18,133.38,131.82,132.76,3.243,1.698
GPPL,174.74,175.42,176.35,174.04,170.65,3.263,1.763
MEDPLUS,835.05,840.75,828.36,820.65,813.29,3.289,1.799
VLSFINANCE,257.35,267.12,271.94,266.91,263.45,3.297,1.662
DATAMATICS,797.8,766.56,772.21,792.86,781.29,3.297,1.838
INGERRAND,3955.0,3667.73,3562.05,3605.3,3692.54,3.3,1.913
IPCALAB,1515.3,1469.18,1454.62,1433.29,1419.12,3.304,1.887
DIVOPPBEES,82.64,83.33,82.91,81.85,80.59,3.308,1.868
ONWARDTEC,267.55,297.86,299.66,300.41,306.82,3.349,1.721
HDFCBANK,910.5,926.5,943.67,957.15,953.26,3.366,1.859
BBTCL,178.1,185.74,189.54,191.29,191.74,3.37,1.849
SUPERHOUSE,157.59,161.57,157.28,157.24,162.59,3.395,2.151
CHALET,843.75,862.68,870.73,886.08,891.58,3.425,2.016
SBCL,478.05,482.74,466.54,468.88,483.0,3.443,2.205
KKCL,503.65,504.43,496.72,501.33,514.1,3.451,1.828
KALYANIFRG,621.5,631.33,630.24,645.47,651.74,3.46,2.109
GRASIM,2879.3,2869.34,2840.55,2816.25,2769.59,3.464,1.873
GODAVARIB,272.9,275.95,271.38,268.16,266.49,3.466,1.929
UNOMINDA,1177.5,1203.86,1217.58,1219.61,1178.71,3.474,1.931
STEL,488.45,472.48,471.28,467.35,455.5,3.475,1.871
KRBL,351.85,361.71,366.99,373.94,369.13,3.477,1.84
REGENCERAM,43.45,45.19,45.81,46.06,46.71,3.483,1.838
ELGIEQUIP,540.7,503.11,484.52,484.27,497.21,3.484,2.133
ESABINDIA,5504.0,5582.89,5643.43,5567.79,5451.64,3.485,1.788
RHIM,440.3,452.45,451.17,455.55,466.58,3.498,1.866
BHARTIARTL,1941.0,2002.07,2022.83,2017.44,1954.92,3.498,1.881
WELCORP,776.4,793.94,798.13,815.56,821.39,3.535,2.142
ATLANTAA,40.69,42.74,43.65,43.38,42.21,3.544,2.031
SIKKO,4.71,4.72,4.74,4.71,4.57,3.55,1.78
ATUL,6468.0,6440.45,6255.74,6206.96,6297.02,3.61,1.911
OMAXAUTO,107.13,112.29,108.42,108.66,109.93,3.615,2.006
PETRONET,307.95,298.05,290.58,286.89,289.57,3.623,1.867
MAHLIFE,369.75,369.31,374.61,377.0,382.73,3.63,1.922
NATCOPHARM,944.85,871.9,868.34,871.89,902.7,3.637,1.818
VRLLOG,286.1,282.91,275.4,273.3,272.49,3.641,1.943
CARERATING,1601.4,1614.39,1605.27,1594.63,1556.0,3.647,1.934
NLCINDIA,263.9,259.94,256.77,254.16,250.29,3.658,1.994
GOKULAGRO,173.23,167.96,171.13,173.2,166.83,3.677,2.143
BRITANNIA,6162.5,6028.62,5977.29,5927.98,5801.94,3.678,1.973
BAIDFIN,11.04,11.29,11.13,11.06,11.47,3.685,2.079
AHLEAST,153.25,149.44,144.16,143.73,145.09,3.723,1.962
GALLANTT,553.85,561.88,563.45,570.19,549.49,3.737,1.916
REDINGTON,239.95,259.66,266.01,268.67,264.28,3.758,1.999
VISHNU,513.8,516.21,516.21,510.98,496.9,3.759,2.049
SALONA,244.38,249.43,253.09,255.85,258.63,3.763,2.07
RSWM,149.41,152.41,149.82,150.8,155.45,3.769,2.064
BHEL,261.8,262.27,265.8,263.18,255.91,3.776,1.946
VADILALIND,4854.7,4831.77,4837.1,4963.41,5015.28,3.78,2.324
RELTD,142.92,148.92,151.18,151.41,146.0,3.784,2.156
KTKBANK,202.92,200.18,196.73,193.53,192.5,3.787,2.157
AARVI,124.59,128.14,127.34,125.43,123.41,3.793,2.152
MUNJALSHOW,127.3,127.31,125.57,126.93,130.41,3.799,1.95
BALKRISIND,2518.5,2536.81,2475.3,2440.75,2465.21,3.814,1.974
HPIL,127.0,129.84,131.82,133.08,134.68,3.816,2.074
NSLNISP,38.66,40.48,41.35,41.68,41.96,3.836,2.06
FLAIR,309.25,312.69,309.69,307.18,300.76,3.856,2.064
SANGHIIND,61.35,62.39,62.98,63.42,64.76,3.86,2.049
MINDTECK,209.76,215.65,216.64,219.86,223.77,3.87,2.19
POWERGRID,304.8,289.69,279.34,277.85,282.25,3.886,2.102
HINDPETRO,447.05,447.91,451.59,448.59,434.2,3.89,1.97
NITINSPIN,381.95,350.32,337.11,335.45,343.94,3.894,2.245
NPBET,299.39,298.09,296.19,292.85,286.41,3.901,2.136
LGHL,281.05,293.42,291.32,292.64,282.4,3.924,2.04
HEMIPROP,141.39,137.53,136.62,138.19,142.17,3.931,2.044
ENTERO,1028.3,1108.86,1110.63,1116.66,1149.32,3.935,2.065
NURECA,300.35,287.77,286.75,281.2,275.9,3.95,2.283
FORTIS,919.55,899.64,898.52,902.28,865.69,3.98,2.01
MODISONLTD,138.96,146.71,148.73,150.47,152.24,3.982,2.2
GANDHAR,140.82,147.96,147.98,147.45,153.07,3.992,1.998
ALIVUS,883.6,909.31,908.98,918.66,944.3,3.998,2.175
AUTOIND,75.69,77.73,76.28,75.47,78.5,4.006,2.322
PIXTRANS,1489.8,1452.75,1420.72,1430.46,1480.41,4.007,2.253
VINCOFE,147.09,147.26,151.26,151.47,145.57,4.012,2.459
ASTRAMICRO,922.85,920.57,937.82,957.66,952.2,4.019,2.269
USHAMART,406.05,415.11,424.05,423.64,407.72,4.022,2.361
GPTINFRA,123.36,116.68,111.88,111.72,115.08,4.025,2.445
MAMATA,433.85,419.96,417.37,421.72,434.85,4.03,2.082
INDIANHUME,346.8,375.24,384.72,387.51,389.24,4.037,2.152
MINDACORP,573.65,580.1,577.85,571.56,556.67,4.086,2.226
BAJFINANCE,1023.55,995.68,986.53,983.31,953.65,4.106,2.105
PSPPROJECT,742.2,780.21,803.87,810.76,785.08,4.117,2.48
BSOFT,366.35,405.05,412.51,409.25,420.26,4.152,2.224
KRYSTAL,625.05,614.54,594.22,588.56,597.19,4.156,2.157
MAXHEALTH,1086.4,1053.46,1052.99,1079.58,1098.16,4.158,2.48
AMBER,7929.5,7253.84,6923.08,6979.33,6936.06,4.171,2.177
GUJGASLTD,405.4,414.29,413.32,416.16,430.25,4.175,2.164
GHCLTEXTIL,77.87,78.33,76.8,77.3,80.06,4.182,2.312
SUPRAJIT,423.3,431.07,442.49,447.8,448.83,4.196,2.307
AVTNPL,65.37,66.3,66.73,67.6,69.05,4.206,2.326
CENTRALBK,39.39,37.84,37.6,37.69,39.26,4.209,2.165
SESHAPAPER,271.38,258.94,248.68,249.85,260.13,4.219,2.668
AGARWALEYE,455.55,455.19,469.54,474.43,462.64,4.221,2.363
WANBURY,263.28,250.62,239.5,240.57,243.65,4.223,2.306
MACPOWER,915.3,898.52,908.42,913.32,937.2,4.225,2.202
IIFLCAPS,300.05,325.98,332.44,328.88,319.74,4.232,2.277
JSL,793.65,779.51,784.23,775.08,750.47,4.253,2.22
PHOENIXLTD,1692.6,1745.95,1759.35,1733.36,1687.31,4.257,2.252
CRISIL,4508.0,4600.17,4604.17,4670.78,4792.31,4.262,2.377
DCI,260.95,253.61,246.88,248.68,258.01,4.268,2.449
SPAL,703.15,720.75,711.92,720.94,741.97,4.273,2.141
PVRINOX,1032.1,1028.57,1031.21,1046.54,1072.73,4.279,2.387
TI,444.75,444.17,444.93,446.51,427.46,4.282,2.17
ANANTRAJ,543.9,545.85,551.42,562.57,569.16,4.287,2.485
SUPRIYA,662.85,685.79,705.76,714.22,703.35,4.288,2.205
ZYDUSLIFE,903.85,902.64,908.47,924.47,941.44,4.293,2.441
LINDEINDIA,6636.5,6478.79,6244.65,6193.58,6291.48,4.298,2.266
M&M,3433.2,3518.9,3566.24,3548.5,3417.89,4.321,2.304
PRESTIGE,1425.6,1510.63,1541.53,1570.68,1572.24,4.322,2.501
FLUOROCHEM,3538.6,3393.82,3408.67,3466.36,3546.85,4.325,2.434
GLAXO,2618.2,2549.34,2515.32,2563.22,2628.67,4.329,2.253
LALPATHLAB,1409.1,1416.15,1435.13,1465.23,1477.17,4.33,2.521
SUNTECK,401.25,405.21,407.9,413.01,422.64,4.343,2.384
PFC,419.4,404.4,389.26,386.04,394.24,4.378,2.387
KIRLPNU,1136.0,1133.48,1116.02,1128.97,1165.92,4.392,2.262
CENTUM,2780.2,2430.57,2375.91,2375.15,2308.35,4.396,2.203
MOSCHIP,199.04,195.84,199.64,204.6,203.28,4.403,2.507
BANDHANBNK,180.55,164.81,157.59,156.83,159.89,4.417,2.421
SONAMLTD,48.24,44.05,42.8,43.11,44.94,4.433,2.541
HARSHA,365.95,380.29,382.23,386.53,396.6,4.456,2.424
TATACOMM,1622.8,1647.74,1686.03,1714.99,1720.14,4.462,2.528
TCI,1030.1,1049.83,1060.02,1082.74,1095.95,4.477,2.606
FUSION,186.79,184.56,178.62,176.19,183.16,4.484,2.647
KERNEX,1103.3,1160.85,1181.06,1174.95,1131.59,4.484,2.455
SUKHJITS,181.22,172.77,171.17,170.33,178.47,4.489,2.391
AVANTEL,144.49,148.56,151.31,154.26,155.06,4.501,2.591
SHREECEM,26525.0,26684.29,26894.38,27372.39,27882.44,4.517,2.559
BLUESTARCO,1959.5,1920.62,1862.65,1842.67,1832.06,4.52,2.43
GALAPREC,746.45,773.66,765.49,771.72,799.36,4.537,2.312
VARROC,546.0,562.82,579.19,587.63,578.99,4.543,2.277
GMRAIRPORT,101.7,98.59,98.58,97.28,93.96,4.553,2.489
NESTLEIND,1320.0,1299.99,1290.02,1268.56,1239.85,4.556,2.549
ETERNAL,254.0,278.24,284.15,289.85,285.27,4.57,2.359
SRF,2583.6,2791.31,2869.83,2909.72,2900.53,4.583,2.49
DODLA,1150.4,1186.03,1204.95,1229.88,1238.84,4.591,2.657
ARVINDFASN,444.5,470.47,478.79,487.69,490.9,4.597,2.632
JAIPURKURT,34.78,36.94,35.95,35.89,37.49,4.603,2.775
INDOBORAX,243.11,245.86,249.42,248.44,238.17,4.629,2.492
SUNFLAG,238.82,247.24,251.61,256.49,258.29,4.629,2.655
RRKABEL,1502.0,1435.49,1427.2,1398.3,1365.74,4.644,2.643
AYMSYNTEX,200.44,184.38,175.28,176.88,184.63,4.666,2.957
RALLIS,270.5,275.48,271.26,276.39,283.94,4.686,2.399
DSSL,931.3,954.86,956.49,962.58,998.55,4.691,2.454
MUNJALAU,80.78,79.77,79.2,80.9,83.0,4.705,2.586
ISHANCH,61.56,60.65,62.01,62.53,59.62,4.735,2.736
DBL,445.35,449.97,457.1,465.08,471.06,4.735,2.666
MARUTI,14926.0,15178.73,15523.28,15475.3,14816.07,4.738,2.7
ORIENTTECH,303.2,325.42,336.7,339.8,337.24,4.742,2.401
GANDHITUBE,902.95,831.02,797.17,794.53,788.17,4.746,2.422
SWARAJENG,3538.3,3583.9,3627.42,3727.2,3752.08,4.753,2.846
BLBLIMITED,18.54,15.99,15.11,15.13,15.82,4.763,3.0
DMART,3849.3,3856.92,3862.09,3948.41,4040.36,4.766,2.757
SINDHUTRAD,25.54,24.0,22.78,22.96,23.35,4.771,2.641
HEG,564.75,547.94,549.86,542.37,522.83,4.785,2.557
TIPSMUSIC,561.1,555.13,546.92,550.95,573.82,4.795,2.522
MAHSCOOTER,13266.0,13578.84,13831.9,14215.72,13976.17,4.801,2.582
INDIAGLYCO,928.8,934.77,949.67,953.13,908.49,4.806,2.671
ASHIANA,324.8,318.04,306.09,302.41,304.9,4.812,2.467
GILLETTE,8417.5,8512.71,8454.64,8644.77,8860.57,4.822,2.673
SAGILITY,42.4,47.05,48.78,48.6,46.73,4.833,3.025
AXISCADES,1474.6,1346.43,1329.62,1343.01,1274.89,4.852,2.577
WORTHPERI,137.09,138.74,139.96,143.11,145.4,4.855,2.811
SANSTAR,86.6,89.66,90.88,91.62,93.87,4.862,2.573
TIMETECHNO,188.87,191.87,190.77,195.86,199.96,4.866,2.785
DOMS,2364.6,2385.97,2444.23,2481.38,2501.13,4.87,2.697
ZYDUSWELL,399.0,409.92,422.64,429.45,423.33,4.894,2.476
NUVAMA,1275.8,1323.65,1368.08,1386.22,1369.53,4.905,2.471
VSSL,248.1,257.18,265.12,269.37,266.73,4.912,2.564
CHOLAFIN,1735.1,1703.91,1697.98,1675.5,1618.56,4.919,2.675
ADVENZYMES,308.6,299.66,298.46,303.7,313.74,4.953,2.695
INSPIRISYS,89.0,90.51,89.75,91.15,94.17,4.957,2.598
JSWHL,17166.0,17542.49,18024.93,18396.97,18390.39,4.978,2.844
BANCOINDIA,651.75,646.17,655.36,664.46,631.95,4.987,2.728
COALINDIA,430.95,424.31,417.44,407.66,402.79,4.993,2.874
UPL,630.55,724.6,737.59,732.28,706.07,4.998,2.702
E2E,2441.1,2526.09,2403.83,2443.99,2515.39,5.008,2.992
APOLSINHOT,1241.6,1272.71,1273.6,1288.45,1334.89,5.008,2.703
JTEKTINDIA,136.09,140.16,142.93,145.33,146.97,5.009,2.799
CINELINE,87.19,85.05,85.53,86.4,89.44,5.025,2.679
