symbol,last_close,ma20,ma50,ma100,ma200,ma_band_pct,avg_pair_diff_pct
LIQUIDBEES,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
LIQUIDETF,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
SUNPHARMA,1731.8,1704.79,1705.55,1705.34,1702.55,0.173,0.092
OBCL,55.75,55.28,55.29,55.35,55.45,0.298,0.167
DABUR,518.05,512.38,511.2,510.4,511.59,0.382,0.204
UNITDSPR,1421.5,1393.15,1386.6,1387.23,1392.81,0.461,0.296
METROPOLIS,1894.6,1923.42,1925.31,1932.93,1925.32,0.502,0.251
SOBHA,1455.6,1491.67,1492.07,1498.88,1499.97,0.57,0.363
STARHEALTH,455.65,462.03,460.94,460.71,459.41,0.574,0.295
ABCOTS,413.75,421.04,418.53,418.9,418.83,0.607,0.306
ICICIGI,1903.9,1908.34,1910.48,1920.18,1915.17,0.622,0.352
INOXINDIA,1155.2,1142.09,1139.47,1146.09,1147.32,0.68,0.397
HSCL,488.2,469.39,466.48,466.01,467.47,0.693,0.38
AUROPHARMA,1164.4,1167.92,1172.77,1166.31,1164.31,0.726,0.386
REPCOHOME,387.95,401.91,404.13,403.34,404.75,0.732,0.4
SCHAEFFLER,4084.8,3848.76,3833.49,3864.43,3853.54,0.757,0.398
VIJAYA,986.0,998.4,1000.27,1005.88,1004.13,0.758,0.444
J&KBANK,110.05,104.55,103.77,103.71,103.95,0.765,0.41
PIDILITIND,1480.5,1474.18,1472.65,1477.87,1484.12,0.775,0.429
BANARISUG,3608.4,3599.43,3600.8,3615.71,3628.27,0.799,0.468
INDBANK,35.97,36.28,36.26,36.19,36.48,0.813,0.416
BVCL,42.05,44.83,44.7,44.72,45.05,0.83,0.461
AURUM,183.7,180.57,179.91,179.04,180.6,0.849,0.484
VENTIVE,713.8,738.54,741.35,739.28,735.25,0.855,0.445
PRUDENT,2539.1,2560.95,2541.01,2563.79,2562.03,0.897,0.456
DALBHARAT,2069.4,2116.08,2114.38,2119.32,2100.66,0.902,0.465
ANGELONE,2460.2,2576.87,2567.07,2554.43,2557.81,0.912,0.519
