date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy,pyramid_level,add_size_pct,trailing_stop,swing_low_stop,recommended_stop,vol_ratio,ema50,ema200,ema_alignment
2026-02-04 00:00:00+05:30,2220.0,2246.0,2189.2,2228.2,2051918,54.049962149886426,2090.89,2186.744,2081.391207070613,2115.888733140781,-34.49752607016808,-56.80113474144537,22.30360867127729,2310.5109164614437,2090.89,1871.2690835385563,91.88571428571433,2008268.65,1.0217348162059892,1.1622627803504908,ADANIENT,6401,2090.371428571428,2457.9142857142856,2549.8,6.185646325669674,10.309410542782775,14.433174759895898,1.6666666666666643,2.333333333333332,2026-02-22,Swing Trading,,,,,,,,,
2026-02-06 00:00:00+05:30,1563.0,1575.5,1527.0,1550.7,4429173,61.93246081757958,1429.135,1467.98,1473.5136140155128,1455.179852904987,18.333761110525757,-5.619488109130826,23.953249219656584,1574.8625652138585,1429.135,1283.4074347861415,63.67857142857146,3236732.2,1.3684088538433916,-1.2418800152846772,ADANIPORTS,3861249,1455.182142857143,1709.8964285714287,1773.5750000000003,6.159660614100542,10.266101023500914,14.372541432901285,1.6666666666666685,2.3333333333333366,2026-02-22,Swing Trading,,,,,,,,,
2026-02-11 00:00:00+05:30,7405.0,7640.0,7405.0,7507.0,1496488,87.92735042735043,7035.5,7094.52,7150.13079555814,7109.062908730169,41.06788682797105,-18.418048995498495,59.485935823469546,7434.148374279609,7035.5,6636.851625720391,162.89285714285714,490293.3,3.052230165086898,3.9894722260700926,APOLLOHOSP,40193,7262.660714285715,7995.678571428572,8158.571428571428,3.2548193114997375,6.509638622999487,8.679518163999314,2.000000000000004,2.666666666666671,2026-02-22,Volume Breakout,,,,,,,,,
2026-01-14 00:00:00+05:30,2884.0,2884.0,2807.3,2813.9,958254,53.092334494773525,2799.995,2814.3660000000004,2823.7441749550057,2809.5447691532663,14.199405801739431,7.986444447784053,6.212961353955378,2881.4869686064853,2799.995,2718.5030313935144,54.35714285714289,1153039.65,0.831067691384247,-2.508401760038807,ASIANPAINT,60417,2732.364285714286,2949.7928571428574,3004.15,2.8976052555426355,4.8293420925710695,6.761078929599488,1.6666666666666703,2.3333333333333353,2026-02-22,Sell Below 10MA,,,,,,,,,
2026-02-03 00:00:00+05:30,1403.0,1418.3,1345.5,1356.2,10384723,63.8529411764706,1304.69,1278.34,1322.6201435852172,1301.5292276389428,21.090915946274436,16.720860488914006,4.370055457360429,1368.6269063999769,1304.69,1240.7530936000232,47.21428571428573,8556556.0,1.2136568731625201,3.4083110941669883,AXISBANK,1510401,1285.3785714285714,1474.2357142857143,1521.45,5.222049002464877,8.70341500410811,12.184781005751363,1.6666666666666632,2.33333333333333,2026-02-22,Swing Trading,,,,,,,,,
2026-02-19 00:00:00+05:30,9991.0,10059.5,9701.0,9729.0,310761,58.57302951064625,9645.55,9429.19,9739.587519816727,9624.432801364135,115.15471845259162,106.34896789502467,8.805750557566952,9963.332928228934,9645.55,9327.767071771064,208.85714285714286,285517.45,1.088413335156923,-2.51503006012024,BAJAJ-AUTO,4267265,9415.714285714286,10251.142857142857,10460.0,3.2201224615655644,5.366870769275947,7.513619076986329,1.6666666666666687,2.333333333333337,2026-02-22,Sell Below 10MA,,,,,,,,,
2026-02-03 00:00:00+05:30,2019.7,2045.5,1986.3,2012.7,1358926,50.19804594665963,1979.0049999999999,2022.938,1962.906349075915,1984.7152718753912,-21.80892279947625,-23.747346612573082,1.9384238130968328,2057.655846684652,1979.0049999999999,1900.3541533153482,47.964285714285715,1268068.75,1.0716500978357837,4.279571006683599,BAJAJFINSV,4268801,1940.7535714285714,2132.6107142857145,2180.575,3.574622575218794,5.957704292031323,8.34078600884383,1.6666666666666665,2.333333333333327,2026-02-22,Swing Trading,,,,,,,,,
2026-02-13 00:00:00+05:30,995.0,1032.0,992.8,1024.75,21613987,75.83939891993427,952.3100000000001,976.836,973.7376875966976,966.5847136402995,7.152973956398114,-3.246977118358077,10.39995107475619,1015.7192106874085,952.3100000000001,888.9007893125917,27.674999999999994,9308391.15,2.32198955240509,2.5673105795215667,BAJFINANCE,81153,983.2375,1107.775,1135.45,4.050988045864849,8.101976091729698,10.802634788972924,2.0,2.6666666666666647,2026-02-22,Momentum Breakout,,,,,,,,,
2026-02-10 00:00:00+05:30,2052.0,2057.0,2008.4,2011.3,9077763,52.87226001511717,1997.015,2054.334,2006.4702600158748,2017.8816545332884,-11.411394517413555,-20.362351044642875,8.95095652722932,2050.892141916133,1997.015,1943.1378580838673,46.79999999999997,7172670.5,1.2656043519634703,-1.3197919733097876,BHARTIARTL,2714625,1941.1,2128.2999999999997,2175.1,3.4902799184606996,5.817133197434484,8.14398647640829,1.6666666666666623,2.333333333333331,2026-02-22,Swing Trading,,,,,,,,,
2026-02-05 00:00:00+05:30,386.0,391.65,378.35,382.05,8446290,69.05859117840681,353.515,354.75,363.42666531460935,358.0448539525776,5.381811362031726,1.3643367929252086,4.0174745691065175,378.94306365126124,353.515,328.08693634873873,12.003571428571425,8076715.95,1.0457579605730718,-0.10458883514184267,BPCL,134657,364.0446428571429,412.05892857142857,424.0625,4.712827416007622,7.854712360012709,10.996597304017795,1.6666666666666679,2.3333333333333357,2026-02-22,Swing Trading,,,,,,,,,
