date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy,ema50,ema200,ema_alignment,risk_reward,action,risk_level,target
2026-02-13 00:00:00+05:30,995.0,1032.0,992.8,1024.75,21613987,75.83939891993427,952.3100000000001,976.836,973.7376875966976,966.5847139946484,7.152973602049201,-3.2469776394595096,10.39995124150871,1015.7192106874086,952.3100000000001,888.9007893125915,27.674999999999994,9308391.15,2.32198955240509,2.5673105795215667,BAJFINANCE,81153,983.2375,1107.775,1135.45,4.050988045864849,8.101976091729698,10.802634788972924,2.0,2.6666666666666647,2026-02-19,Momentum Breakout,,,,2.0,BUY,HIGH,1107.775
2026-02-13 00:00:00+05:30,7900.0,8119.0,7886.5,8065.0,967939,75.2594670406732,7254.925,7277.5,7483.112380337685,7348.59203333322,134.5203470044653,29.830730997726775,104.68961600673852,7881.166694975923,7254.925,6628.6833050240775,226.85714285714286,577907.75,1.6749022659758412,1.5359435981367242,EICHERMOT,232961,7724.714285714285,8745.57142857143,8972.42857142857,4.219289699760876,8.438579399521752,11.251439199362315,2.0,2.6666666666666616,2026-02-19,Momentum Breakout,,,,2.0,BUY,HIGH,8745.57142857143
2026-02-19 00:00:00+05:30,270.3,276.45,267.85,274.25,35822637,75.24461839530332,260.31,243.595,264.10927578805865,256.8238855621983,7.28539022586034,7.029071205482937,0.2563190203774024,279.08976514622503,260.31,241.53023485377497,7.642857142857147,22179413.05,1.615130072163925,3.6470143613000667,ONGC,633601,262.7857142857143,297.17857142857144,304.8214285714286,4.18023180101576,8.36046360203152,11.1472848027087,2.0,2.6666666666666683,2026-02-19,Momentum Breakout,,,,2.0,BUY,HIGH,297.17857142857144
2026-02-18 00:00:00+05:30,216.2,216.4,210.26,211.95,22679760,21.820646035690032,230.27599999999998,245.2704,223.32499866069597,231.96680812232597,-8.641809461630004,-6.75372730390258,-1.8880821577274238,250.30873783742803,230.27599999999998,210.24326216257194,8.086428571428574,17178134.3,1.3202691051262767,-1.7339700496082382,WIPRO,969473,199.82035714285712,228.12285714285713,236.2092857142857,5.722879385299773,7.630505847066356,11.445758770599532,1.333333333333332,1.9999999999999976,2026-02-19,Mean Reversion,,,,1.333333333333332,BUY,HIGH,228.12285714285713
2026-02-19 00:00:00+05:30,1408.5,1412.3,1384.8,1388.7,13820533,64.91516146688558,1388.415,1379.9219999999998,1400.8571697360444,1392.8809415976261,7.976228138418264,7.623011525304559,0.35321661311370534,1442.16327390129,1388.415,1334.66672609871,23.67142857142856,13671194.2,1.0109236104626471,-1.3847464848743076,ICICIBANK,1270529,1353.1928571428573,1447.8785714285714,1471.55,2.5568620189488556,4.261436698248097,5.966011377547339,1.6666666666666685,2.333333333333337,2026-02-19,Trend Following,,,,1.6666666666666685,BUY,MEDIUM,1447.8785714285714
2026-02-18 00:00:00+05:30,1244.6,1264.0,1244.2,1251.2,1389762,63.56932153392323,1226.675,1172.428,1237.541019976402,1217.3687567003853,20.172263276016565,20.78160089978222,-0.6093376237656543,1273.9796509341404,1226.675,1179.3703490658595,24.27142857142855,1614563.75,0.8607662596165683,0.5302908565000913,JSWSTEEL,3001089,1214.7928571428572,1311.8785714285714,1336.15,2.909778041651442,4.849630069419064,6.789482097186704,1.6666666666666645,2.3333333333333353,2026-02-19,Trend Following,,,,1.6666666666666645,BUY,MEDIUM,1311.8785714285714
2026-02-17 00:00:00+05:30,266.7,266.7,261.95,265.6,21292868,47.17444717444719,257.1275,242.16600000000003,261.84105461307365,254.6961801197481,7.1448744933255455,6.997311477398309,0.1475630159272363,279.0973471594712,257.1275,235.15765284052878,8.728571428571431,20825068.35,1.0224632948203505,0.11307953260460285,ONGC,633601,252.50714285714287,287.4214285714286,296.15000000000003,4.929539586919109,8.215899311531835,11.502259036144581,1.666666666666664,2.333333333333332,2026-02-19,Trend Following,,,,1.666666666666664,BUY,HIGH,287.4214285714286
2026-02-13 00:00:00+05:30,995.0,1032.0,992.8,1024.75,21613987,75.83939891993427,952.3100000000001,976.836,973.7376875966976,966.5847139946484,7.152973602049201,-3.2469776394595096,10.39995124150871,1015.7192106874086,952.3100000000001,888.9007893125915,27.674999999999994,9308391.15,2.32198955240509,2.5673105795215667,BAJFINANCE,81153,983.2375,1107.775,1135.45,4.050988045864849,8.101976091729698,10.802634788972924,2.0,2.6666666666666647,2026-02-19,Volume Breakout,,,,2.0,BUY,HIGH,1107.775
2026-02-18 00:00:00+05:30,6165.0,6299.0,6165.0,6283.5,438670,57.98146240988672,6125.3,6282.39,6182.745204812839,6197.081716655153,-14.336511842314394,-41.27654436708509,26.940032524770693,6330.577834832926,6125.3,5920.0221651670745,227.53571428571428,420273.25,1.04377330700919,1.5515151515151515,DIVISLAB,2800641,5942.196428571428,6852.339285714285,7079.875,5.431743000375134,9.052905000625215,12.674067000875308,1.6666666666666652,2.3333333333333326,2026-02-19,Swing Trading,,,,1.6666666666666652,HOLD,HIGH,6852.339285714285
2026-02-17 00:00:00+05:30,318.45,328.05,318.15,325.45,39360672,59.61262553802006,315.78499999999997,346.965,318.6683504516005,324.88369608964547,-6.215345638044994,-9.424164668330974,3.20881903028598,327.188928224414,315.78499999999997,304.38107177558595,8.760714285714288,25345578.4,1.5529601013169225,2.3588614562038055,ITC,424961,312.30892857142857,347.3517857142857,356.1125,4.037815771569035,6.729692952615062,9.421570133661092,1.6666666666666679,2.333333333333336,2026-02-19,Swing Trading,,,,1.6666666666666679,HOLD,HIGH,347.3517857142857
