date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,prev_close_strength,gap_pct,held_gap,close_vs_open_pct,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy,close_strength,intraday_gain_pct
2026-02-03 00:00:00+05:30,2150.0,2233.4,2131.1,2202.6,6918581,52.43835010505362,2092.435,2190.164,2054.6987047158104,2106.931262184261,-52.23255746845052,-62.417355782399184,10.184798313948662,2316.5126301101586,2092.435,1868.3573698898413,89.75714285714288,1940587.45,3.5651992905550327,10.383882930740693,ADANIENT,6401,90.02932551319655,7.747819985967721,True,2.4465116279069723,2023.0857142857142,2382.114285714286,2471.8714285714286,8.150108313551518,8.150108313551527,12.225162470327284,1.000000000000001,1.5000000000000007,2026-02-09,Closing Momentum Gap,,
2026-02-03 00:00:00+05:30,1477.2,1537.0,1477.2,1530.8,11977119,58.68456832087016,1414.8799999999999,1463.724,1415.975818064695,1427.3312864616157,-11.355468396920742,-22.304113914272826,10.948645517352084,1514.8026985434733,1414.8799999999999,1314.9573014565265,58.87142857142862,2808105.3,4.265195824387355,9.101275746561189,ADANIPORTS,3861249,94.99999999999984,5.281163138764175,True,3.6284863254806328,1413.0571428571427,1648.5428571428572,1707.4142857142858,7.691589831647325,7.691589831647325,11.537384747470988,1.0,1.5,2026-02-09,Closing Momentum Gap,,
2025-10-17 00:00:00+05:30,2421.0,2544.0,2421.0,2507.8,3719960,77.39043824701189,2383.37,,2389.2017190655497,2411.821188905011,-22.61946983946109,-40.12948375187316,17.51001391241207,2502.8359185048635,2383.37,2263.9040814951363,43.942857142857164,1084852.3,3.4290013488472115,4.071046188322213,ASIANPAINT,60417,79.4063079777359,0.46893804207993456,True,3.585295332507236,2419.914285714286,2595.6857142857143,2639.628571428572,3.50449454843744,3.50449454843744,5.256741822656178,1.0,1.500000000000005,2026-02-09,Closing Momentum Gap,,
2025-10-23 00:00:00+05:30,1246.0,1276.1,1241.3,1258.8,14611221,71.5775749674055,1183.3200000000002,,1204.1734469003356,1178.2316807071934,25.941766193142257,19.87618494699671,6.065581246145548,1248.0515948237103,1183.3200000000002,1118.58840517629,27.68571428571431,9029798.6,1.618111504723926,1.737654570435626,AXISBANK,1510401,91.07142857142854,0.7031439424553501,True,1.0272873194221472,1203.4285714285713,1314.1714285714286,1341.857142857143,4.398747106087435,4.398747106087435,6.598120659131151,1.0,1.4999999999999998,2026-02-09,Closing Momentum Gap,,
2026-02-06 00:00:00+05:30,973.95,986.5,966.1,981.7,13742927,52.932726837443134,943.0674999999999,980.791,949.2859398336125,955.5539018353415,-6.2679620017290745,-13.878460543619443,7.610498541890369,985.7597065487391,943.0674999999999,900.3752934512606,28.149999999999995,8737842.25,1.5728055745112588,1.7569318476289242,BAJFINANCE,81153,75.80645161290323,0.9536149261466749,True,0.7957287335078802,925.4000000000001,1038.0,1066.15,5.734949577263925,5.734949577263925,8.602424365895898,1.0,1.5000000000000018,2026-02-09,Closing Momentum Gap,,
2025-11-04 00:00:00+05:30,2107.0,2135.6,2103.5,2113.3,12263078,73.93051966695383,2015.75,,2054.8022226956045,2011.8830597641072,42.91916293149734,36.55581025461838,6.363352676878961,2139.8460833174718,2015.75,1891.6539166825282,39.97142857142861,5067897.4,2.419756564132494,1.894889103182265,BHARTIARTL,2714625,79.28994082840234,1.591128254580521,True,0.29900332225914483,2033.357142857143,2193.2428571428572,2233.2142857142862,3.7828447046258122,3.782844704625801,5.6742670569387235,0.9999999999999971,1.5000000000000013,2026-02-09,Closing Momentum Gap,,
2026-02-03 00:00:00+05:30,372.0,374.7,358.3,373.45,12411365,68.97246474143716,351.2125,353.37199999999996,355.9661690578558,354.0182722946506,1.947896763205165,-0.5288954745891015,2.4767922377942666,368.271125692778,351.2125,334.15387430722194,11.400000000000006,7922227.55,1.5666509099451456,1.840741750749932,BPCL,134657,94.57831325301184,1.4453231524406904,True,0.3897849462365561,350.65,396.25,407.65,6.105234971214355,6.105234971214355,9.157852456821526,1.0,1.499999999999999,2026-02-09,Closing Momentum Gap,,
2025-12-16 00:00:00+05:30,6059.5,6145.0,6032.0,6066.0,284337,61.61552911709455,5875.975,5907.81,5921.561153636886,5905.005242766395,16.55591087049106,-8.6198207691008,25.17573163959186,6018.134093605499,5875.975,5733.815906394501,107.46428571428571,280054.25,1.01529257277831,0.4637297118251077,BRITANNIA,140033,91.41414141414141,0.3560781715799934,True,0.10726957669774734,5851.071428571428,6280.928571428572,6388.392857142857,3.543168009043382,3.543168009043382,5.314752013565065,1.0,1.4999999999999978,2026-02-09,Closing Momentum Gap,,
2025-10-30 00:00:00+05:30,6545.0,6695.0,6536.5,6655.0,537064,77.70127118644068,6379.55,,6500.3357200108485,6358.93074451912,141.4049754917287,139.10609687394884,2.298878617779849,6981.7272688817575,6379.55,5777.372731118243,136.53571428571428,511832.5,1.0492964006779562,2.195945945945946,DIVISLAB,2800641,70.05649717514125,0.5067567567567568,True,1.680672268907563,6381.928571428572,6928.071428571428,7064.607142857143,4.103252119781044,4.103252119781044,6.154878179671572,1.0,1.5000000000000013,2026-02-09,Closing Momentum Gap,,
2025-10-28 00:00:00+05:30,2932.7,2959.6,2914.1,2932.9,1056504,67.30396231643115,2823.705,,2860.8501251963658,2836.2245028698053,24.62562232656046,12.164182617695825,12.461439708864635,2923.1893648122923,2823.705,2724.2206351877076,50.35000000000004,451721.3,2.3388403424855104,0.30780806457129173,GRASIM,315393,88.3101851851853,0.30096788535858704,True,0.006819654243539157,2832.2,3033.6000000000004,3083.9500000000003,3.4334617613965794,3.4334617613965794,5.150192642094861,1.0,1.4999999999999978,2026-02-09,Closing Momentum Gap,,
