date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,pyramid_level,add_size_pct,trailing_stop,swing_low_stop,recommended_stop,vol_ratio,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy,ema50,ema200,ema_alignment
2025-11-12 00:00:00+05:30,1477.0,1515.0,1475.5,1506.9,4641466,58.62603305785127,1453.215,1417.1,1457.5775973888285,1443.2417799903462,14.335817398482277,11.694576239670692,2.641241158811585,1497.5564158309812,1453.215,1408.8735841690186,30.521428571428583,2556758.75,1.8153711217376298,2.2042864894194247,ADANIPORTS,3861249,1.0,100.0,1430.6,1425.0,1430.6,1.82,1461.1178571428572,1583.2035714285716,1613.7250000000001,3.038167287619805,5.063612146033019,7.089057004446217,1.66666666666667,2.3333333333333353,2026-02-22,Pyramiding,,,
2025-08-07 00:00:00+05:30,2484.1,2510.0,2466.9,2506.5,1502806,70.5259675818722,2405.9350000000004,2348.444,2433.513243593999,2405.593067240473,27.92017635352613,18.20620143900744,9.71397491451869,2493.5208982881804,2405.9350000000004,2318.3491017118204,51.52142857142852,993336.25,1.512887504105483,0.61416184971099,ASIANPAINT,60417,1.0,100.0,2377.7,2378.0,2378.0,1.51,2429.217857142857,2661.0642857142857,2712.585714285714,3.08326921432846,6.16653842865692,8.222051238209215,2.0,2.666666666666663,2026-02-22,Pyramiding,,,
2025-10-23 00:00:00+05:30,1246.0,1276.1,1241.3,1258.8,14611221,71.5775749674055,1183.3200000000002,1122.836,1203.7888770822465,1174.3147605682682,29.474116513978288,24.39944781611671,5.074668697861579,1248.051594823708,1183.3200000000002,1118.5884051762923,27.68571428571431,9029798.6,1.618111504723926,1.737654570435626,AXISBANK,1510401,1.0,100.0,1189.59,1185.3,1189.59,1.62,1217.2714285714285,1341.857142857143,1369.5428571428572,3.2990603295655756,6.598120659131151,8.79749421217487,2.0,2.6666666666666674,2026-02-22,Pyramiding,,,
2026-01-06 00:00:00+05:30,9575.0,9783.5,9543.0,9661.0,503002,72.22600408441116,9156.25,9036.57,9338.43453013429,9194.659699949754,143.77483018453495,85.12018025336384,58.65464993117111,9633.624122289446,9156.25,8678.875877710554,185.60714285714286,326617.7,1.5400328886034038,1.7215056593840483,BAJAJ-AUTO,4267265,1.0,100.0,9196.98,9296.5,9296.5,1.54,9382.589285714286,10217.82142857143,10403.42857142857,2.881800168571719,5.7636003371434565,7.68480044952459,2.0000000000000067,2.6666666666666687,2026-02-22,Pyramiding,,,
2025-10-20 00:00:00+05:30,2088.0,2149.5,2088.0,2139.8,1844869,74.10976120653542,2041.8400000000001,2007.1319999999998,2060.9520280791394,2041.6259076286271,19.326120450512235,9.93171754696884,9.394402903543394,2119.762644502838,2041.8400000000001,1963.9173554971621,36.7928571428572,931148.1,1.9812841802501664,2.6923261505975127,BAJAJFINSV,4268801,1.0,100.0,2047.82,2006.6,2047.82,1.98,2084.6107142857145,2250.1785714285716,2286.971428571429,2.5791796296049014,5.158359259209803,6.877812345613085,2.0,2.6666666666666723,2026-02-22,Pyramiding,,,
2025-10-15 00:00:00+05:30,1026.0,1063.0,1018.4,1059.9,10205158,58.49056603773589,1011.7850000000001,950.2109999999999,1020.9682351568468,998.864316062899,22.103919093947866,21.18875538601482,0.915163707933047,1050.1553298204,1011.7850000000001,973.4146701796002,22.499999999999982,7664628.6,1.3314615139995172,3.998430064269255,BAJFINANCE,81153,1.0,100.0,1003.65,1011.35,1011.35,1.33,1026.15,1116.15,1138.65,3.1842626662892726,5.3071044438154535,7.429946221341635,1.6666666666666665,2.333333333333333,2026-02-22,Pyramiding,,,
2025-10-17 00:00:00+05:30,1973.6,2034.3,1970.3,2012.0,6743801,71.74111212397449,1934.6200000000001,1914.266,1952.053853816858,1935.22527539013,16.828578426727972,8.679664504821092,8.14891392190688,2002.1861578322346,1934.6200000000001,1867.0538421677657,31.69285714285713,5009723.3,1.346142410699609,2.2669513062925644,BHARTIARTL,2714625,1.0,100.0,1932.77,1936.0,1936.0,1.35,1964.4607142857144,2091.2321428571427,2122.925,2.362787560352167,3.9379792672536116,5.513170974155079,1.6666666666666667,2.3333333333333433,2026-02-22,Pyramiding,,,
2025-11-03 00:00:00+05:30,344.7,351.9,339.3,349.8,20107281,71.61639597834495,325.95750000000004,314.258,331.1018849893599,324.65993235196004,6.441952637399879,4.132355110795093,2.3095975266047866,343.6775236129102,325.95750000000004,308.2374763870899,7.778571428571431,8373114.5,2.40141001296471,2.9277622480506067,BPCL,134657,1.0,100.0,330.35,323.45,330.35,2.4,338.13214285714287,373.1357142857143,380.9142857142857,3.3355795148247984,6.671159029649597,8.894878706199457,2.0,2.6666666666666647,2026-02-22,Pyramiding,,,
2026-01-29 00:00:00+05:30,446.0,461.55,442.55,455.75,16915601,61.65377176015475,425.265,400.217,429.5264028863777,419.26443922122127,10.26196366515643,9.217118724757185,1.0448449403992441,450.9798349565406,425.265,399.55016504345934,12.478571428571431,10804749.65,1.5655708413382812,2.634838419096946,COALINDIA,5215745,1.0,100.0,424.55,415.4,424.55,1.57,437.03214285714284,486.94642857142856,499.425,4.107044902437116,6.845074837395185,9.583104772353266,1.6666666666666645,2.333333333333332,2026-02-22,Pyramiding,,,
2025-08-21 00:00:00+05:30,2880.0,2898.4,2855.0,2881.2,1138327,64.44492070295755,2767.92,2766.8860000000004,2802.3095177740865,2778.112302804008,24.197214970078676,9.515142015241922,14.682072954836753,2870.956786481439,2767.92,2664.883213518561,60.35000000000004,722213.2,1.5761647668583183,0.5689552863974214,GRASIM,315393,1.0,100.0,2730.32,2731.1,2731.1,1.58,2790.6749999999997,3032.075,3092.425,3.1419200333194537,5.236533388865751,7.331146744412063,1.666666666666665,2.333333333333335,2026-02-22,Pyramiding,,,
