date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy,risk_reward,action,risk_level,target
2026-02-11 00:00:00+05:30,7505.0,7805.0,7501.0,7776.5,2258047,70.65001419244962,7188.45,7241.33,7275.30889993763,7239.549177973688,35.759721963941956,-16.848184450759828,52.60790641470179,7562.543135040208,7188.45,6814.356864959792,224.64285714285714,516057.85,4.375569521905344,6.5858004385964914,EICHERMOT,232961,7439.535714285715,8450.42857142857,8675.07142857143,4.333109827226713,8.666219654453426,11.554959539271257,2.0,2.666666666666672,2026-02-11,Momentum Breakout,2.0,BUY,HIGH,8450.42857142857
2026-02-11 00:00:00+05:30,1144.7,1187.5,1142.8,1181.1,29132180,71.666394646646,1065.1175,1013.2770000000002,1095.0609953002406,1060.3681496801073,34.69284562013331,23.9680646531099,10.724780967023413,1152.6862115175416,1065.1175,977.5487884824586,36.196428571428555,13388787.45,2.175863953983376,3.233983043440259,SBIN,779521,1126.805357142857,1289.6892857142857,1325.8857142857141,4.596955622482676,9.193911244965353,12.258548326620458,2.0,2.666666666666664,2026-02-11,Momentum Breakout,2.0,BUY,HIGH,1289.6892857142857
2026-02-10 00:00:00+05:30,202.99,211.1,201.08,208.01,82443790,69.07533139346914,192.0805,180.461,196.18351189020876,190.47801817596667,5.705493714242095,4.721500461892178,0.9839932523499177,205.66043484985596,192.0805,178.50056515014404,7.099999999999994,36210767.6,2.276775541206699,2.975247524752471,TATASTEEL,895745,197.36,229.30999999999997,236.40999999999997,5.119946156434776,10.239892312869566,13.653189750492755,2.0000000000000027,2.6666666666666705,2026-02-11,Momentum Breakout,2.0000000000000027,BUY,HIGH,229.30999999999997
2026-02-11 00:00:00+05:30,2979.0,2979.0,2894.9,2929.0,997080,63.102297998517436,2820.16,2809.2119999999995,2863.3976669964554,2834.378188976726,29.019478019729377,12.741198180007018,16.27827983972236,2950.1303350768967,2820.16,2690.189664923103,68.55714285714294,734328.75,1.3578114706798556,-0.84295338366228,GRASIM,315393,2826.1642857142856,3100.3928571428573,3168.9500000000003,3.5109496171292047,5.851582695215341,8.192215773301477,1.6666666666666665,2.333333333333333,2026-02-11,Trend Following,1.6666666666666665,BUY,MEDIUM,3100.3928571428573
2026-02-11 00:00:00+05:30,2460.0,2470.6,2447.0,2457.7,1135056,62.968689601855395,2387.62,2357.1279999999997,2405.6147416319354,2387.8397419956127,17.77499963632272,8.965927861208282,8.809071775114436,2455.851605579804,2387.62,2319.3883944201957,53.285714285714256,1407196.4,0.8066080896739077,0.1671014020215157,HINDUNILVR,356865,2377.7714285714283,2590.9142857142856,2644.2,3.2521695662030177,5.420282610338357,7.588395654473695,1.666666666666665,2.3333333333333295,2026-02-11,Trend Following,1.666666666666665,BUY,MEDIUM,2590.9142857142856
2026-02-10 00:00:00+05:30,1401.0,1409.5,1395.5,1406.5,16497628,63.63205310573734,1380.935,1376.56,1387.5162848190778,1381.8421795452944,5.674105273783425,1.396723897192857,4.277381376590569,1438.8973571130878,1380.935,1322.9726428869121,28.014285714285716,15779179.25,1.0455314397927256,0.7305020411086476,ICICIBANK,1270529,1364.4785714285715,1476.5357142857142,1504.55,2.987659336752825,4.9794322279213805,6.9712051190899365,1.6666666666666685,2.333333333333337,2026-02-11,Trend Following,1.6666666666666685,BUY,MEDIUM,1476.5357142857142
2026-02-05 00:00:00+05:30,369.75,370.7,365.0,367.0,18789794,63.812709030100315,347.2975,335.46299999999997,353.7966431953566,346.6594072849133,7.13723591044328,5.341979834301439,1.7952560761418415,366.5102554943121,347.2975,328.0847445056879,10.507142857142851,12536719.1,1.4987808094065058,-0.06807351940095302,NTPC,2977281,351.2392857142857,393.2678571428571,403.775,4.294472557415341,7.157454262358885,10.020435967302447,1.6666666666666627,2.3333333333333295,2026-02-11,Trend Following,1.6666666666666627,BUY,HIGH,393.2678571428571
2026-02-05 00:00:00+05:30,193.0,198.41,191.52,197.76,31293689,58.55274941787569,188.815,178.4348,191.77105606520567,187.32001611248333,4.45103995272234,4.30785449113999,0.14318546158235002,200.90347123676602,188.815,176.72652876323397,6.510714285714282,32195643.0,0.971985215515031,1.2077789150460518,TATASTEEL,895745,187.99392857142857,214.03678571428568,220.54749999999999,4.938345180305129,8.230575300508542,11.522805420711972,1.6666666666666654,2.3333333333333344,2026-02-11,Trend Following,1.6666666666666654,BUY,HIGH,214.03678571428568
2026-02-11 00:00:00+05:30,7405.0,7640.0,7405.0,7503.0,1474324,87.87553648068669,7035.3,7094.44,7149.515410942755,7108.7666195555885,40.74879138716642,-18.4818771324276,59.23066851959402,7432.955153434,7035.3,6637.6448465660005,162.89285714285714,489185.1,3.0138366847232265,3.934062889596897,APOLLOHOSP,40193,7258.660714285715,7991.678571428572,8154.571428571428,3.2565545210487183,6.513109042097448,8.68414538946326,2.0000000000000036,2.6666666666666705,2026-02-11,Volume Breakout,2.0000000000000036,BUY,MEDIUM,7991.678571428572
2026-02-06 00:00:00+05:30,1994.0,2049.7,1988.5,2038.4,13870403,55.643879173290955,1998.095,2057.688,1999.6634210139077,2016.8248564348446,-17.16143542093687,-25.04611881669002,7.88468339575315,2054.247329473175,1998.095,1941.9426705268252,47.22142857142857,6783001.5,2.0448768882035484,2.3087733386870104,BHARTIARTL,2714625,1967.5678571428573,2156.4535714285716,2203.675,3.4748892688943678,5.791482114823958,8.108074960753536,1.6666666666666698,2.3333333333333366,2026-02-11,Volume Breakout,1.6666666666666698,BUY,MEDIUM,2156.4535714285716
