entry_date,exit_date,entry_price,exit_price,stop,target_1,target_2,shares,pnl,pnl_pct,exit_reason,hold_days,atr,symbol,strategy
2025-12-29 00:00:00+05:30,2026-01-22 00:00:00+05:30,4010.0,4010.0,3888.87,4221.98,4312.82,16,0.0,0.0,stop_loss,18,60.56,TITAN,Momentum Breakout
2026-01-06 00:00:00+05:30,2026-01-12 00:00:00+05:30,12100.0,11811.57,11811.57,12604.75,12821.07,6,-1730.57,-2.38,stop_loss,5,144.21,ULTRACEMCO,Momentum Breakout
2026-01-16 00:00:00+05:30,2026-01-27 00:00:00+05:30,11800.0,12760.36,11415.86,12472.25,12760.36,5,3265.21,5.53,target_2,7,192.07,ULTRACEMCO,Momentum Breakout
2025-12-23 00:00:00+05:30,2026-01-20 00:00:00+05:30,779.9,745.91,745.91,839.38,864.86,58,-1971.17,-4.36,stop_loss,19,16.99,UPL,Momentum Breakout
2025-12-04 00:00:00+05:30,2026-01-08 00:00:00+05:30,249.55,255.6,241.97,262.81,268.5,263,792.55,1.21,max_hold,25,3.79,WIPRO,Momentum Breakout
2026-01-22 00:00:00+05:30,2026-01-27 00:00:00+05:30,2008.8,1967.85,1967.85,2077.06,2111.19,48,-1965.81,-2.04,stop_loss,3,34.13,BHARTIARTL,Mean Reversion
2026-01-14 00:00:00+05:30,2026-01-22 00:00:00+05:30,930.0,913.24,913.24,957.94,971.9,119,-1994.61,-1.8,stop_loss,6,13.97,HDFCBANK,Mean Reversion
2026-01-27 00:00:00+05:30,2026-02-03 00:00:00+05:30,235.2,256.58,226.65,249.45,256.58,233,4132.5,7.54,target_2,7,7.13,WIPRO,Mean Reversion
2026-02-19 00:00:00+05:30,2026-02-20 00:00:00+05:30,214.0,209.86,204.3,230.17,238.26,206,-852.84,-1.93,max_hold,2,8.09,WIPRO,Mean Reversion
2026-02-18 00:00:00+05:30,2026-02-20 00:00:00+05:30,1565.0,1511.5,1434.32,1774.09,1878.63,15,-802.5,-3.42,max_hold,3,52.27,ADANIPORTS,Trend Following
2025-11-25 00:00:00+05:30,2025-12-08 00:00:00+05:30,7409.0,7121.77,7121.77,7868.57,8098.36,6,-1723.39,-3.88,stop_loss,10,114.89,APOLLOHOSP,Trend Following
2025-12-10 00:00:00+05:30,2025-12-18 00:00:00+05:30,7101.0,6881.62,6881.62,7452.0,7627.5,9,-1974.38,-3.09,stop_loss,7,87.75,APOLLOHOSP,Trend Following
2026-02-19 00:00:00+05:30,2026-02-20 00:00:00+05:30,7610.0,7615.5,7229.55,8218.71,8523.07,5,27.5,0.07,max_hold,2,152.18,APOLLOHOSP,Trend Following
2025-11-25 00:00:00+05:30,2026-01-06 00:00:00+05:30,2899.9,2845.8,2732.9,3167.1,3300.7,11,-595.1,-1.87,max_hold,30,66.8,ASIANPAINT,Trend Following
2026-01-19 00:00:00+05:30,2026-01-23 00:00:00+05:30,1307.0,1251.39,1251.39,1395.97,1440.46,35,-1946.25,-4.25,stop_loss,5,22.24,AXISBANK,Trend Following
2026-01-28 00:00:00+05:30,2026-02-20 00:00:00+05:30,1348.0,1368.3,1272.66,1468.54,1528.81,26,527.8,1.51,max_hold,19,30.14,AXISBANK,Trend Following
