date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy
2025-12-01 00:00:00+05:30,1530.0,1549.0,1523.0,1530.5,4059126,68.03858520900319,1485.115,1451.78,1499.561129043823,1480.393286269771,19.167842774052133,17.266238108264858,1.901604665787275,1541.125084618298,1485.115,1429.104915381702,25.621428571428574,2277910.65,1.7819513684612696,ADANIPORTS,3861249,1479.2571428571428,1581.7428571428572,1607.3642857142856,3.348112194894299,3.348112194894299,5.0221682923414335,1.0,1.4999999999999956,2026-02-09,Stage 2 Uptrend
2025-08-21 00:00:00+05:30,7893.0,7947.0,7853.0,7926.5,482016,66.47443291041907,7477.55,7341.84,7641.692616443901,7494.764673684816,146.92794275908454,83.20579894617022,63.722143812914325,8017.689738254931,7477.55,6937.410261745069,161.85714285714286,481276.05,1.0015374752182247,APOLLOHOSP,40193,7602.785714285715,8250.214285714286,8412.07142857143,4.083949860774432,4.083949860774443,6.1259247911616646,1.0000000000000029,1.5000000000000042,2026-02-09,Stage 2 Uptrend
2025-11-10 00:00:00+05:30,2613.8,2666.8,2611.1,2650.4,1706880,73.99057873485872,2489.255,2472.974,2543.71341206813,2498.9291160698713,44.784295998258585,27.774444683646777,17.009851314611808,2669.4960488324155,2489.255,2309.0139511675848,42.52142857142855,1040223.95,1.6408774283653054,ASIANPAINT,60417,2565.357142857143,2735.442857142857,2777.964285714286,3.2086800914147666,3.2086800914147666,4.813020137122159,1.0,1.5000000000000027,2026-02-09,Stage 2 Uptrend
2026-01-30 00:00:00+05:30,1352.0,1378.7,1352.0,1370.4,14758482,65.73795180722897,1295.6399999999999,1274.8059999999998,1313.2494781793555,1292.4566333013424,20.792844878013057,13.014967350350883,7.777877527662174,1354.5907341144361,1295.6399999999999,1236.6892658855636,36.800000000000004,8156881.5,1.8093289696558665,AXISBANK,1510401,1296.8000000000002,1444.0,1480.8000000000002,5.3706946876824215,5.3706946876824215,8.05604203152365,1.0,1.500000000000003,2026-02-09,Stage 2 Uptrend
2026-01-06 00:00:00+05:30,9575.0,9783.5,9543.0,9661.0,503002,72.22600408441116,9156.25,9036.57,9338.43453013429,9194.65963811,143.77489202428842,85.12027119417708,58.65462083011134,9633.624122289439,9156.25,8678.875877710561,185.60714285714286,326617.7,1.5400328886034038,BAJAJ-AUTO,4267265,9289.785714285714,10032.214285714286,10217.82142857143,3.8424002247623044,3.8424002247623044,5.7636003371434565,1.0,1.5,2026-02-09,Stage 2 Uptrend
2025-10-20 00:00:00+05:30,2088.0,2149.5,2088.0,2139.8,1844869,74.10976120653542,2041.8399999999997,2007.1319999999998,2060.952028062361,2041.622488194688,19.32953986767302,9.936746064772901,9.392793802900119,2119.76264450284,2041.8399999999997,1963.9173554971596,36.7928571428572,931148.1,1.9812841802501664,BAJAJFINSV,4268801,2066.214285714286,2213.3857142857146,2250.1785714285716,3.4389061728065426,3.4389061728065426,5.158359259209803,1.0,1.4999999999999967,2026-02-09,Stage 2 Uptrend
2025-10-16 00:00:00+05:30,1062.0,1081.1,1058.85,1065.75,9901992,65.9254807692308,1014.6975,953.82,1027.8577374609288,1003.8196069485358,24.038130512392968,21.75761937469878,2.2805111376941873,1059.9280145600667,1014.6975,969.4669854399334,22.439285714285706,7809977.05,1.267864417091981,BAJFINANCE,81153,1020.8714285714286,1110.6285714285714,1133.067857142857,4.210984886565459,4.210984886565459,6.316477329848189,1.0,1.5,2026-02-09,Stage 2 Uptrend
2025-11-18 00:00:00+05:30,2122.0,2159.0,2110.3,2149.2,10972556,57.85828449653703,2069.855,1983.9920000000002,2083.045147691642,2047.3541336689975,35.69101402264437,32.48963470871553,3.2013793139288396,2147.0078210078877,2069.855,1992.7021789921125,40.94285714285719,10094277.35,1.0870075805872326,BHARTIARTL,2714625,2067.3142857142852,2231.0857142857144,2272.0285714285715,3.8100555688495534,3.8100555688495534,5.715083353274319,1.0,1.4999999999999971,2026-02-09,Stage 2 Uptrend
2026-02-06 00:00:00+05:30,382.5,386.9,381.35,386.35,7988984,72.43139757498405,355.59749999999997,355.32899999999995,366.9533321892847,360.14152821645735,6.811803972827363,2.4538343216155574,4.357969651211805,384.562024126847,355.59749999999997,326.63297587315293,11.839285714285706,8090444.1,0.9874592669146556,BPCL,134657,362.67142857142863,410.0285714285714,421.86785714285713,6.128787738726902,6.128787738726902,9.19318160809036,1.0,1.500000000000001,2026-02-09,Stage 2 Uptrend
2026-01-07 00:00:00+05:30,6200.0,6271.0,6157.5,6185.0,437361,58.971774193548384,6028.075,5939.38,6056.334829661497,6010.746568797282,45.588260864215044,37.33420690521845,8.254053958996593,6199.083856341942,6028.075,5857.066143658058,98.10714285714286,226933.95,1.927261214110978,BRITANNIA,140033,5988.785714285715,6381.214285714285,6479.321428571428,3.172421757708736,3.172421757708736,4.758632636563111,1.0,1.5000000000000022,2026-02-09,Stage 2 Uptrend
