date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy
2026-02-04 00:00:00+05:30,2220.0,2246.0,2189.2,2228.2,2051918,54.049962149886426,2090.89,2186.744,2081.391207070613,2115.8887479721,-34.497540901487355,-56.801156552208575,22.30361565072122,2310.5109164614414,2090.89,1871.2690835385583,91.88571428571433,2008268.65,1.0217348162059892,ADANIENT,6401,2044.428571428571,2411.9714285714285,2503.8571428571427,8.247528434226224,8.247528434226224,12.371292651339326,1.0,1.499999999999999,2026-02-09,Swing Trading
2026-02-06 00:00:00+05:30,1563.0,1575.5,1527.0,1550.7,4429173,61.93246081757958,1429.135,1467.98,1473.5136140155128,1455.179855428097,18.333758587415787,-5.619491819586649,23.953250407002436,1574.8625652138576,1429.135,1283.4074347861424,63.67857142857146,3236732.2,1.3684088538433916,ADANIPORTS,3861249,1423.3428571428572,1678.057142857143,1741.7357142857145,8.212880818800727,8.212880818800727,12.3193212282011,1.0,1.500000000000001,2026-02-09,Swing Trading
2026-02-06 00:00:00+05:30,7080.0,7176.5,6994.0,7152.5,668962,51.06267029972752,7030.475,7094.69,7033.640389061783,7054.277053432363,-20.636664370579638,-53.28042872438923,32.643764353809594,7399.5103677245115,7030.475,6661.439632275489,156.64285714285714,427074.6,1.5663820793837893,APOLLOHOSP,40193,6839.214285714285,7465.785714285715,7622.428571428572,4.3800868827083494,4.3800868827083494,6.570130324062518,1.0,1.4999999999999987,2026-02-09,Swing Trading
2026-01-12 00:00:00+05:30,2826.0,2900.0,2808.0,2896.4,1743901,61.12224448897796,2793.54,2800.822,2814.4856658462454,2803.0280354816014,11.457630364644046,3.9571207753597584,7.500509589284288,2863.943032231293,2793.54,2723.136967768707,51.2071428571429,1149823.55,1.5166683618543035,ASIANPAINT,60417,2793.9857142857145,2998.8142857142857,3050.0214285714287,3.535916507191189,3.535916507191189,5.303874760786791,1.0,1.5000000000000022,2026-02-09,Swing Trading
2026-02-03 00:00:00+05:30,1403.0,1418.3,1345.5,1356.2,10384723,63.8529411764706,1304.69,1278.34,1322.620143585217,1301.5292127893854,21.090930795831582,16.72088232649798,4.370048469333604,1368.6269063999769,1304.69,1240.7530936000232,47.21428571428573,8556556.0,1.2136568731625201,AXISBANK,1510401,1261.7714285714285,1450.6285714285716,1497.8428571428572,6.962732003286503,6.962732003286503,10.444098004929737,1.0,1.4999999999999973,2026-02-09,Swing Trading
2026-01-02 00:00:00+05:30,9550.0,9633.0,9310.5,9502.5,733651,66.88604087287843,9105.075,9015.87,9240.201947047066,9130.140601891504,110.06134515556187,57.46230655151708,52.599038604044786,9482.895519211004,9105.075,8727.254480788997,170.64285714285714,315221.3,2.32741569176956,BAJAJ-AUTO,4267265,9161.214285714286,9843.785714285714,10014.42857142857,3.591536061938582,3.591536061938582,5.387304092907874,1.0,1.5000000000000002,2026-02-09,Swing Trading
2026-02-03 00:00:00+05:30,2019.7,2045.5,1986.3,2012.7,1358926,50.19804594665963,1979.0049999999999,2022.9379999999999,1962.906349075915,1984.7152584649266,-21.80890938901166,-23.747326891301885,1.9384175022902248,2057.655846684635,1979.0049999999999,1900.354153315365,47.964285714285715,1268068.75,1.0716500978357837,BAJAJFINSV,4268801,1916.7714285714287,2108.6285714285714,2156.592857142857,4.766163433625048,4.766163433625048,7.149245150437576,1.0,1.5000000000000009,2026-02-09,Swing Trading
2026-02-04 00:00:00+05:30,965.0,975.7,944.15,963.3,17489015,54.05468567422293,942.7825,981.8,939.5092830509914,952.5154634287526,-13.006180377761211,-17.14463378689868,4.138453409137469,984.3051035463018,942.7825,901.2598964536983,29.078571428571422,8322620.35,2.1013832500481655,BAJFINANCE,81153,905.1428571428571,1021.4571428571428,1050.5357142857142,6.037282555501178,6.037282555501178,9.055923833251766,1.0,1.5,2026-02-09,Swing Trading
2026-02-06 00:00:00+05:30,1994.0,2049.7,1988.5,2038.4,13870403,55.643879173290955,1998.095,2057.688,1999.6634210139077,2016.8248419102965,-17.16142089638879,-25.046097457061038,7.884676560672247,2054.247329473175,1998.095,1941.9426705268254,47.22142857142857,6783001.5,2.0448768882035484,BHARTIARTL,2714625,1943.957142857143,2132.842857142857,2180.0642857142857,4.633185691859158,4.633185691859158,6.9497785377887356,1.0,1.4999999999999998,2026-02-09,Swing Trading
2026-02-05 00:00:00+05:30,386.0,391.65,378.35,382.05,8446290,69.05859117840681,353.515,354.75,363.42666531460924,358.044850473774,5.381814840835261,1.3643419088126056,4.017472932022656,378.94306365126135,353.515,328.0869363487386,12.003571428571425,8076715.95,1.0457579605730718,BPCL,134657,358.04285714285714,406.0571428571429,418.0607142857143,6.2837698880101724,6.2837698880101724,9.42565483201526,1.0,1.5000000000000002,2026-02-09,Swing Trading
2026-01-07 00:00:00+05:30,6200.0,6271.0,6157.5,6185.0,437361,58.971774193548384,6028.075,5939.38,6056.334829661497,6010.746568797282,45.588260864215044,37.33420690521845,8.254053958996593,6199.083856341942,6028.075,5857.066143658058,98.10714285714286,226933.95,1.927261214110978,BRITANNIA,140033,5988.785714285715,6381.214285714285,6479.321428571428,3.172421757708736,3.172421757708736,4.758632636563111,1.0,1.5000000000000022,2026-02-09,Swing Trading
