date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy
2025-05-26 00:00:00+05:30,6640,6764,6592.5,6737,1467231,68.71345029,6240.775,,6400.918077,6204.49417,196.4239069,157.2576916,39.16621525,6706.072695,6240.775,5775.477305,190.7857143,655819.6,2.237247865,3.917939226,DIVISLAB,2800641,6450.821429,7309.357143,7500.142857,4.24786361,8.495727221,11.32763629,2,2.666666667,11-02-2026,Gap Up
2025-06-05 00:00:00+05:30,1264.2,1303.4,1264.2,1290.6,3834672,81.03626943,1231.52,,1246.736037,1225.669536,21.06650078,17.95609863,3.110402145,1284.967017,1231.52,1178.072983,21.26428571,1891915.1,2.026873193,3.091301222,DRREDDY,225537,1258.703571,1354.392857,1375.657143,2.471441854,4.942883709,6.590511611,2,2.666666667,11-02-2026,Volume Breakout
2025-06-10 00:00:00+05:30,2520.7,2581.9,2499,2533.4,2149650,66.40648454,2447.17,,2455.57736,2422.430948,33.14641167,28.3385781,4.807833566,2517.232261,2447.17,2377.107739,53.37142857,951427.65,2.25939408,1.202412815,ADANIENT,6401,2453.342857,2693.514286,2746.885714,3.160067216,6.320134433,8.42684591,2,2.666666667,11-02-2026,Momentum Breakout
2025-06-26 00:00:00+05:30,990.7,1013.6,990,1010.9,50084830,60.2478551,975.915,,981.1999517,974.9579937,6.241958017,3.314107431,2.927850586,1000.517206,975.915,951.3127943,12.92857143,20299799,2.467257434,2.100797899,HDFCBANK,341249,991.5071429,1043.221429,1056.15,1.918375422,3.19729237,4.476209318,1.666666667,2.333333333,11-02-2026,Momentum Breakout
2025-06-26 00:00:00+05:30,990.7,1013.6,990,1010.9,50084830,60.2478551,975.915,,981.1999517,974.9579937,6.241958017,3.314107431,2.927850586,1000.517206,975.915,951.3127943,12.92857143,20299799,2.467257434,2.100797899,HDFCBANK,341249,991.5071429,1043.221429,1056.15,1.918375422,3.19729237,4.476209318,1.666666667,2.333333333,11-02-2026,Volume Breakout
2025-06-26 00:00:00+05:30,1122,1150,1119.1,1145.4,2236678,59.60051546,1104.75,,1109.143083,1111.487439,-2.344356487,-8.468170428,6.12381394,1145.593089,1104.75,1063.906911,20.87857143,1097695.75,2.03761197,1.677762983,TATACONSUM,878593,1114.082143,1197.596429,1218.475,2.734228841,4.557048068,6.379867295,1.666666667,2.333333333,11-02-2026,Pyramiding
2025-06-27 00:00:00+05:30,30005,31280,30000,31030,218128,64.15981199,29515.75,30090.3,29615.7432,29755.98789,-140.2446904,-282.7234054,142.478715,30613.58651,29515.75,28417.91349,608.5714286,57362.2,3.802643553,3.072579306,SHREECEM,794369,30117.14286,32551.42857,33160,2.941853506,4.903089176,6.864324847,1.666666667,2.333333333,11-02-2026,Momentum Breakout
2025-06-27 00:00:00+05:30,30005,31280,30000,31030,218128,64.15981199,29515.75,30090.3,29615.7432,29755.98789,-140.2446904,-282.7234054,142.478715,30613.58651,29515.75,28417.91349,608.5714286,57362.2,3.802643553,3.072579306,SHREECEM,794369,30117.14286,32551.42857,33160,2.941853506,4.903089176,6.864324847,1.666666667,2.333333333,11-02-2026,Volume Breakout
2025-07-07 00:00:00+05:30,2341,2415.7,2341,2410.4,2701583,65.64651875,2317.095,2342.87,2325.151009,2327.912285,-2.761275793,-13.63664212,10.87536633,2395.227397,2317.095,2238.962603,31.92857143,1628516.1,1.658923114,3.039370752,HINDUNILVR,356865,2362.507143,2506.185714,2538.114286,1.986925703,3.973851406,5.298468541,2,2.666666667,11-02-2026,Momentum Breakout
2025-07-15 00:00:00+05:30,1705,1730.9,1687.9,1727.5,3332578,70.63435495,1672.735,1688.932,1681.929234,1681.511705,0.417529747,-5.122183442,5.539713189,1705.679948,1672.735,1639.790052,26.82142857,2028808.4,1.642628254,2.668489243,SUNPHARMA,857857,1687.267857,1807.964286,1834.785714,2.328922886,4.657845772,6.21046103,2,2.666666667,11-02-2026,Momentum Breakout
