date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,symbol,token,ema50,ema200,ema_alignment,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy
2025-11-20 00:00:00+05:30,2450.1,2478.9,2440.4,2446.1,1526556,49.60962228318208,2397.825,2419.422,2411.887072100037,2408.6225284300085,3.2645436700286155,-7.067475308058644,10.332018978087259,2528.9886161842346,2397.825,2266.661383815765,68.42142857142858,1738871.4,0.8779004588838485,ADANIENT,6401,2402.9906626057395,2383.3731659848595,0.8230979898933992,2309.2571428571428,2582.942857142857,2651.364285714286,5.59432799733687,5.59432799733687,8.391491996005314,1.0,1.5000000000000018,2026-02-09,Golden Crossover
2026-02-06 00:00:00+05:30,1563.0,1575.5,1527.0,1550.7,4429173,61.93246081757958,1429.135,1467.98,1473.5136140155128,1455.179855428097,18.333758587415787,-5.619491819586649,23.953250407002436,1574.8625652138576,1429.135,1283.4074347861424,63.67857142857146,3236732.2,1.3684088538433916,ADANIPORTS,3861249,1455.2810972211794,1406.503080502072,3.46803483016158,1423.3428571428572,1678.057142857143,1741.7357142857145,8.212880818800727,8.212880818800727,12.3193212282011,1.0,1.500000000000001,2026-02-09,Golden Crossover
2025-10-28 00:00:00+05:30,7864.0,7901.0,7828.5,7880.5,348079,63.81025248661056,7734.425,7767.48,7846.075832618323,7781.992831993274,64.08300062504895,50.18081662494259,13.902184000106367,8111.7943255879945,7734.425,7357.055674412006,120.17857142857143,317244.45,1.0971949233469647,APOLLOHOSP,40193,7702.56075136869,7337.702186401006,4.972381757927955,7640.142857142857,8120.857142857143,8241.035714285714,3.0500240195056545,3.0500240195056545,4.57503602925847,1.0,1.4999999999999962,2026-02-09,Golden Crossover
2026-01-14 00:00:00+05:30,2884.0,2884.0,2807.3,2813.9,958254,53.092334494773525,2799.995,2814.3660000000004,2823.744174955004,2809.544749212622,14.199425742382118,7.986473772257363,6.212951970124755,2881.4869686064853,2799.995,2718.5030313935144,54.35714285714289,1153039.65,0.831067691384247,ASIANPAINT,60417,2768.044856278133,2577.3758179185634,7.3977972880008664,2705.1857142857143,2922.614285714286,2976.971428571429,3.8634736740568525,3.8634736740568525,5.795210511085287,1.0,1.5000000000000022,2026-02-09,Golden Crossover
2026-02-04 00:00:00+05:30,1369.7,1369.9,1336.6,1338.7,6672251,56.22076707202995,1306.935,1279.734,1325.0939676490298,1304.282604434616,20.81136321441386,17.538978504081154,3.2723847103327053,1372.396833798099,1306.935,1241.473166201901,45.70000000000003,8552580.1,0.7801448126747156,AXISBANK,1510401,1281.2534944304134,1206.4195577271018,6.202977747169395,1247.3,1430.1000000000001,1475.8000000000002,6.827519235078815,6.827519235078815,10.24127885261822,1.0,1.4999999999999998,2026-02-09,Golden Crossover
2026-01-14 00:00:00+05:30,9576.0,9610.0,9494.0,9579.5,335206,65.2969742248786,9344.675,9112.81,9504.658833742795,9349.058043103265,155.6007906395298,145.00806193436415,10.592728705165655,9922.923469176794,9344.675,8766.426530823204,200.35714285714286,329492.1,1.0173415386893951,BAJAJ-AUTO,4267265,9199.142558015175,8706.00534897025,5.664333862409748,9178.785714285714,9980.214285714286,10180.57142857143,4.183039675497533,4.183039675497533,6.2745595132463,1.0,1.5,2026-02-09,Golden Crossover
2025-12-09 00:00:00+05:30,2050.0,2081.8,2039.0,2069.5,1176704,52.84576820996759,2064.8450000000003,2069.1659999999997,2068.6744239946647,2069.7285598844906,-1.0541358898258295,-1.2421929284703204,0.18805703864449086,2110.078824093325,2064.8450000000003,2019.611175906676,42.81428571428577,1093076.85,1.0765061944180776,BAJAJFINSV,4268801,2063.2555646887204,2023.5729817841045,1.9610156521080495,1983.8714285714284,2155.1285714285714,2197.942857142857,4.137645393987515,4.137645393987503,6.206468090981255,0.9999999999999972,1.4999999999999958,2026-02-09,Golden Crossover
2026-02-06 00:00:00+05:30,973.95,986.5,966.1,981.7,13742927,52.932726837443134,943.0675000000001,980.7909999999999,949.285936385621,955.5164124046232,-6.2304760190022535,-13.823341647107993,7.59286562810574,985.759706548739,943.0675000000001,900.3752934512612,28.149999999999995,8737842.25,1.5728055745112588,BAJFINANCE,81153,970.5713641267142,966.0272845765307,0.470388323677155,925.4000000000001,1038.0,1066.15,5.734949577263925,5.734949577263925,8.602424365895898,1.0,1.5000000000000018,2026-02-09,Golden Crossover
2026-02-09 00:00:00+05:30,2051.2,2055.2,2028.7,2047.1,5418546,60.37352821762078,1999.095,2056.3179999999998,2006.9613562425372,2019.0674462132376,-12.106089970700395,-22.45809595978891,10.352005989088514,2058.0639472251532,1999.095,1940.1260527748466,46.192857142857115,6845658.35,0.7915302989083585,BHARTIARTL,2714625,2034.1913315230433,1977.6262957630456,2.8602489702521234,1954.7142857142858,2139.485714285714,2185.678571428571,4.5130044592699,4.5130044592699,6.769506688904851,1.0,1.5000000000000002,2026-02-09,Golden Crossover
2026-02-06 00:00:00+05:30,382.5,386.9,381.35,386.35,7988984,72.43139757498405,355.59749999999997,355.32899999999995,366.9533321892847,360.14152821645735,6.811803972827363,2.4538343216155574,4.357969651211805,384.562024126847,355.59749999999997,326.63297587315293,11.839285714285706,8090444.1,0.9874592669146556,BPCL,134657,354.98329439294616,329.364414894989,7.778277901128207,362.67142857142863,410.0285714285714,421.86785714285713,6.128787738726902,6.128787738726902,9.19318160809036,1.0,1.500000000000001,2026-02-09,Golden Crossover
