date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,volume_sma_20,volume_ratio,change_pct,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy,ema50,ema200,ema_alignment
2025-06-10 00:00:00+05:30,2520.7,2581.9,2499.0,2533.4,2149650,66.40648453917743,2447.1699999999996,,2455.5723955284006,2422.2917821899437,33.28061333845699,28.526400369098823,4.754212969358164,2517.2322610329734,2447.1699999999996,2377.107738967026,53.37142857142869,951427.65,2.2593940800438164,1.2024128150840852,ADANIENT,6401,2426.657142857143,2640.1428571428573,2693.514285714286,4.213422955035022,4.213422955035022,6.320134432552532,1.0,1.4999999999999998,2026-02-10,Momentum Breakout,,,
2026-02-04 00:00:00+05:30,1529.9,1572.3,1508.5,1567.9,6632728,61.04790898894409,1419.615,1465.364,1439.3487666828232,1437.7253072868905,1.6234593959327412,-17.49513173293274,19.118591128865482,1538.3735657852494,1419.615,1300.8564342147506,62.29285714285719,3055961.25,2.170422808862514,2.423569375489949,ADANIPORTS,3861249,1443.3142857142857,1692.4857142857145,1754.7785714285717,7.9460242544623,7.9460242544623,11.91903638169345,1.0,1.5000000000000002,2026-02-10,Momentum Breakout,,,
2026-01-07 00:00:00+05:30,7349.0,7488.0,7315.0,7447.5,567878,76.59251769464106,7090.575,7312.86,7174.981534101093,7180.337689608527,-5.356155507434778,-59.97746316241788,54.6213076549831,7341.211510760707,7090.575,6839.938489239293,121.17857142857143,327257.35,1.7352643110995063,1.354109961894393,APOLLOHOSP,40193,7205.142857142857,7689.857142857143,7811.035714285715,3.2542080276219285,3.2542080276219285,4.881312041432893,1.0,1.5,2026-02-10,Momentum Breakout,,,
2026-01-12 00:00:00+05:30,2826.0,2900.0,2808.0,2896.4,1743901,61.12224448897796,2793.54,2800.822,2814.4856658462472,2803.0280623105555,11.45760353569176,3.957081321020277,7.5005222146714825,2863.943032231294,2793.54,2723.1369677687057,51.2071428571429,1149823.55,1.5166683618543035,2.509290391081228,ASIANPAINT,60417,2793.9857142857145,2998.8142857142857,3050.0214285714287,3.535916507191189,3.535916507191189,5.303874760786791,1.0,1.5000000000000022,2026-02-10,Momentum Breakout,,,
2026-01-30 00:00:00+05:30,1352.0,1378.7,1352.0,1370.4,14758482,65.73795180722897,1295.64,1274.806,1313.2494781793557,1292.456644991979,20.7928331873768,13.014950158239186,7.777883029137614,1354.5907341144364,1295.64,1236.6892658855638,36.800000000000004,8156881.5,1.8093289696558665,0.4913104055144127,AXISBANK,1510401,1296.8000000000002,1444.0,1480.8000000000002,5.3706946876824215,5.3706946876824215,8.05604203152365,1.0,1.500000000000003,2026-02-10,Momentum Breakout,,,
2025-12-30 00:00:00+05:30,9087.0,9299.0,9025.5,9282.0,464922,62.912308930008045,9043.45,8995.66,9086.615084644924,9041.399157241865,45.21592740305823,24.858827525468108,20.357099877590123,9245.61093120406,9043.45,8841.28906879594,145.28571428571428,297574.65,1.5623709882545438,2.1459227467811157,BAJAJ-AUTO,4267265,8991.42857142857,9572.57142857143,9717.857142857143,3.130482962415744,3.130482962415744,4.6957244436236065,1.0,1.499999999999997,2026-02-10,Momentum Breakout,,,
2025-10-20 00:00:00+05:30,2088.0,2149.5,2088.0,2139.8,1844869,74.10976120653542,2041.8399999999997,2007.1319999999998,2060.9520280628867,2041.6225467433248,19.329481319561864,9.936659965760818,9.392821353801047,2119.7626445028395,2041.8399999999997,1963.9173554971599,36.7928571428572,931148.1,1.9812841802501664,2.6923261505975127,BAJAJFINSV,4268801,2066.214285714286,2213.3857142857146,2250.1785714285716,3.4389061728065426,3.4389061728065426,5.158359259209803,1.0,1.4999999999999967,2026-02-10,Momentum Breakout,,,
2025-09-04 00:00:00+05:30,915.0,948.0,912.25,934.75,21738706,73.23593410009323,885.6400000000001,908.143,895.061255605347,894.9922889553314,0.06896665001556812,-5.2173323670491065,5.286299017064675,922.4113217774816,885.6400000000001,848.8686782225186,22.085714285714264,7390266.5,2.94153208142088,4.28985830637064,BAJFINANCE,81153,890.5785714285714,978.9214285714286,1001.0071428571428,4.725480456959462,4.725480456959462,7.0882206854391825,1.0,1.4999999999999976,2026-02-10,Momentum Breakout,,,
2025-11-04 00:00:00+05:30,2107.0,2135.6,2103.5,2113.3,12263078,73.93051966695383,2015.75,1952.088,2054.7874437684177,2011.7726257879178,43.014817980499856,36.66840254300227,6.346415437497583,2139.8460833174704,2015.75,1891.6539166825296,39.97142857142861,5067897.4,2.419756564132494,1.894889103182265,BHARTIARTL,2714625,2033.357142857143,2193.2428571428572,2233.2142857142862,3.7828447046258122,3.782844704625801,5.6742670569387235,0.9999999999999971,1.5000000000000013,2026-02-10,Momentum Breakout,,,
2025-12-31 00:00:00+05:30,359.2,375.25,358.75,373.3,12051156,74.49781659388645,354.2825,349.68799999999993,359.08454703746116,354.85614614673324,4.228400890727926,3.100711826566102,1.127689064161824,368.95450251822166,354.2825,339.6104974817784,7.95714285714286,5630839.3,2.1402059902508674,3.9253897550111425,BPCL,134657,357.3857142857143,389.2142857142857,397.1714285714286,4.263135739160384,4.263135739160384,6.394703608740575,1.0,1.5,2026-02-10,Momentum Breakout,,,
