date,open,high,low,close,volume,rsi_14,sma_20,sma_50,ema_12,ema_26,ema_20,ema_50,ema_100,ema_200,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,supertrend,supertrend_dir,volume_sma_20,volume_ratio,symbol,token,stop_loss,target_1,target_2,risk_pct,reward_1_pct,reward_2_pct,rr_ratio_1,rr_ratio_2,scan_date,strategy
2026-02-03 00:00:00+05:30,1477.2,1537.0,1477.2,1530.8,11977119,58.68456832087016,1414.8799999999999,1463.724,1415.9758151706092,1427.311327641039,1421.2074452375846,1441.5833201088549,1437.392368864191,1401.7407795052388,-11.335512470429876,-22.27477329632209,10.939260825892212,1514.8026985434817,1414.8799999999999,1314.957301456518,58.87142857142862,,1.0,2808105.3,4.265195824387355,ADANIPORTS,3861249,1413.0571428571427,1648.5428571428572,1707.4142857142858,7.691589831647325,7.691589831647325,11.537384747470988,1.0,1.5,2026-02-07,Pyramiding
2025-05-21 00:00:00+05:30,6928.5,7043.0,6928.5,6984.0,449740,50.362318840579704,6974.05,,6960.163168418889,6960.064039717894,6960.991193118228,6950.620412746071,6935.40472109492,6922.698503465535,0.09912870099469728,-0.7061473897682466,0.8052760907629439,7164.779320462825,6974.05,6783.320679537175,142.10714285714286,,1.0,353731.25,1.2714172129264802,APOLLOHOSP,40193,6699.785714285715,7268.214285714285,7410.321428571428,4.069505809196525,4.069505809196525,6.104258713794795,1.0,1.5000000000000016,2026-02-07,Pyramiding
2025-11-10 00:00:00+05:30,2613.8,2666.8,2611.1,2650.4,1706880,73.99057873485872,2489.255,2472.974,2543.71341206813,2498.9291160698713,2512.3919231196787,2474.430612714714,2449.714927746712,2429.191657543379,44.784295998258585,27.774444683646777,17.009851314611808,2669.4960488324155,2489.255,2309.0139511675848,42.52142857142855,,1.0,1040223.95,1.6408774283653054,ASIANPAINT,60417,2565.357142857143,2735.442857142857,2777.964285714286,3.2086800914147666,3.2086800914147666,4.813020137122159,1.0,1.5000000000000027,2026-02-07,Pyramiding
2026-02-03 00:00:00+05:30,1403.0,1418.3,1345.5,1356.2,10384723,63.8529411764706,1304.69,1278.34,1322.620143585217,1301.5292127893854,1309.074072108552,1278.9087391010426,1243.9083738803267,1205.090106045967,21.090930795831582,16.72088232649798,4.370048469333604,1368.6269063999769,1304.69,1240.7530936000232,47.21428571428573,,1.0,8556556.0,1.2136568731625201,AXISBANK,1510401,1261.7714285714285,1450.6285714285716,1497.8428571428572,6.962732003286503,6.962732003286503,10.444098004929737,1.0,1.4999999999999973,2026-02-07,Pyramiding
2026-01-14 00:00:00+05:30,9576.0,9610.0,9494.0,9579.5,335206,65.2969742248786,9344.675,9112.81,9504.658833742795,9349.058043103265,9406.924871176803,9199.142558015175,8997.980107024387,8706.00534897025,155.6007906395298,145.00806193436415,10.592728705165655,9922.923469176794,9344.675,8766.426530823204,200.35714285714286,,1.0,329492.1,1.0173415386893951,BAJAJ-AUTO,4267265,9178.785714285714,9980.214285714286,10180.57142857143,4.183039675497533,4.183039675497533,6.2745595132463,1.0,1.5,2026-02-07,Pyramiding
2025-09-04 00:00:00+05:30,1985.0,2033.8,1971.0,2002.2,2459026,65.09628610729024,1944.22,1982.922,1955.9043046299093,1958.8049865669902,1955.9680591642584,1971.3430995773776,1982.1434215131167,1983.2156170008757,-2.90068193708089,-9.882727769010538,6.982045831929648,2003.252608294948,1944.22,1885.187391705052,34.90000000000001,,1.0,1109767.85,2.2158021607852487,BAJAJFINSV,4268801,1932.4,2072.0,2106.9,3.4861652182599117,3.4861652182599117,5.229247827389873,1.0,1.5000000000000016,2026-02-07,Pyramiding
2026-02-04 00:00:00+05:30,965.0,975.7,944.15,963.3,17489015,54.05468567422293,942.7825,981.8,939.5092830509914,952.5154634287526,946.4521438532936,970.3362007886644,977.5817985772012,965.8810238169849,-13.006180377761211,-17.14463378689868,4.138453409137469,984.3051035463018,942.7825,901.2598964536983,29.078571428571422,,1.0,8322620.35,2.1013832500481655,BAJFINANCE,81153,905.1428571428571,1021.4571428571428,1050.5357142857142,6.037282555501178,6.037282555501178,9.055923833251766,1.0,1.5,2026-02-07,Pyramiding
2026-02-05 00:00:00+05:30,386.0,391.65,378.35,382.05,8446290,69.05859117840681,353.515,354.75,363.42666531460924,358.044850473774,359.508910916008,353.7030206946991,344.0584786336829,328.7916954466974,5.381814840835261,1.3643419088126056,4.017472932022656,378.94306365126135,353.515,328.0869363487386,12.003571428571425,,1.0,8076715.95,1.0457579605730718,BPCL,134657,358.04285714285714,406.0571428571429,418.0607142857143,6.2837698880101724,6.2837698880101724,9.42565483201526,1.0,1.5000000000000002,2026-02-07,Pyramiding
2025-10-08 00:00:00+05:30,6115.0,6267.5,6104.0,6120.5,874932,52.911392405063296,5966.1,6102.69,5936.588549994298,5992.437507889079,5963.593958662739,6102.9123225604735,6179.507564556919,6120.561888052634,-55.84895789478105,-83.67850051621579,27.82954262143474,6294.170531569361,5966.1,5638.02946843064,142.57142857142858,,1.0,476797.65,1.835017433496159,DIVISLAB,2800641,5835.357142857143,6405.642857142857,6548.214285714286,4.658816389884109,4.658816389884109,6.9882245848261775,1.0,1.500000000000003,2026-02-07,Pyramiding
2025-11-24 00:00:00+05:30,1248.0,1262.4,1219.0,1226.2,7611988,65.72916666666666,1230.44,1255.738,1236.216342221906,1239.170789022354,1237.1678769779492,1246.589925444441,1248.6455004851323,1233.4248384000111,-2.9544468004480677,-6.03474320041299,3.080296399964922,1286.579202926857,1230.44,1174.300797073143,17.778571428571468,,1.0,2265332.65,3.3602076057130064,DRREDDY,225537,1190.642857142857,1261.757142857143,1279.5357142857144,2.8997833026539666,2.8997833026539666,4.349674953980949,1.0,1.4999999999999996,2026-02-07,Pyramiding
